region;subregion;eligible_voters_19;eligible_voters_14;voters_19;voters_14;invalid_19;invalid_14;valid_19;valid_14;afd_19;afd_14
Flensburg, Stadt;1,0;70431;70929;39647;25350;237;176;39410;25174;2477;1583
Kiel, Landeshauptstadt;1,0;186195;188135;109595;75741;577;405;109018;75336;6459;4418
Lübeck, Hansestadt;1,0;166530;167198;90946;62933;461;424;90485;62509;6773;4334
Neumünster, Stadt;1,0;60215;60970;29036;27659;231;409;28805;27250;2761;1960
Dithmarschen;1,0;107045;107804;58244;42819;475;469;57769;42350;5121;2325
Herzogtum Lauenburg;1,0;152666;150105;91899;69625;609;588;91290;69037;8355;5182
Nordfriesland;1,0;131877;130887;77635;53913;446;419;77189;53494;4373;3038
Ostholstein;1,0;165528;165120;96712;70141;723;618;95989;69523;7752;5439
Pinneberg;1,0;239300;236519;150689;108214;1005;784;149684;107430;11681;7628
Plön;1,0;105085;104325;66925;48942;424;374;66501;48568;4846;3390
Rendsburg-Eckernförde;1,0;218614;216954;136614;99710;793;765;135821;98945;9206;6678
Schleswig-Flensburg;1,0;159674;156854;95525;66056;618;519;94907;65537;5705;4273
Segeberg;1,0;212630;209166;126584;88572;766;606;125818;87966;10296;6364
Steinburg;1,0;104839;105504;60505;44391;387;382;60118;44009;4675;2563
Stormarn;1,0;188732;186619;123481;94016;617;759;122864;93257;9778;6934
Schleswig-Holstein;99,0;2269361;2257089;1354037;978082;8369;7697;1345668;970385;100258;66109
Hamburg, Freie und Hansestadt;2,0;1302548;1283323;805905;558277;9473;5406;796432;552871;51649;33239
Hamburg;99,0;1302548;1283323;805905;558277;9473;5406;796432;552871;51649;33239
Braunschweig, Stadt;3,0;190413;194345;122195;99682;573;1050;121622;98632;8329;5550
Salzgitter, Stadt;3,0;72737;75270;37215;34611;393;483;36822;34128;5519;1976
Wolfsburg, Stadt;3,0;89191;92913;50390;38340;324;254;50066;38086;5105;2512
Gifhorn;3,0;136223;134817;82780;64411;507;597;82273;63814;8047;3108
Goslar;3,0;107632;112117;62885;43027;495;290;62390;42737;6409;2905
Helmstedt;3,0;73182;74543;42754;31577;326;284;42428;31293;3895;1688
Northeim;3,0;107594;110332;60355;53172;361;561;59994;52611;4877;2894
Peine;3,0;103605;102763;64184;48159;418;400;63766;47759;5936;2520
Wolfenbüttel;3,0;96324;97307;62070;51152;402;456;61668;50696;5512;3174
Göttingen;3,0;253354;257883;152703;129655;745;1196;151958;128459;10309;6451
Region Hannover;3,0;844533;850194;540175;413626;2752;3664;537423;409962;43422;23741
Diepholz;3,0;169375;168403;105348;83526;681;707;104667;82819;7850;4320
Hameln-Pyrmont;3,0;116288;118875;67945;58476;413;633;67532;57843;6648;3518
Hildesheim;3,0;217020;219042;135482;106129;663;841;134819;105288;11272;5842
Holzminden;3,0;55950;58035;33503;27290;372;349;33131;26941;2759;1277
Nienburg (Weser);3,0;94437;95424;53561;41146;352;288;53209;40858;4601;1908
Schaumburg;3,0;124384;125366;72992;63465;399;594;72593;62871;6544;3665
Celle;3,0;139021;139565;83672;64929;435;485;83237;64444;9096;5119
Cuxhaven;3,0;158334;158271;97886;72992;832;522;97054;72470;7845;3501
Harburg;3,0;199955;195893;132929;102313;828;1070;132101;101243;11358;9038
Lüchow-Dannenberg;3,0;39160;39602;23088;20974;147;280;22941;20694;1710;1028
Lüneburg;3,0;142507;139750;95397;74254;666;740;94731;73514;7151;4411
Osterholz;3,0;90731;89145;56826;44314;310;354;56516;43960;4550;2538
Rotenburg (Wümme);3,0;129318;128196;80401;71135;456;669;79945;70466;5814;2990
Heidekreis;3,0;108608;109018;64342;55676;406;664;63936;55012;5766;3020
Stade;3,0;157508;155555;98083;74562;593;620;97490;73942;8245;4572
Uelzen;3,0;74964;75619;46290;37733;375;332;45915;37401;4038;2226
Verden;3,0;105973;104680;68058;55868;498;435;67560;55433;5242;2915
Delmenhorst, Stadt;3,0;56279;57777;29611;25765;259;368;29352;25397;3480;1645
Emden, Stadt;3,0;37967;38973;22907;14006;333;123;22574;13883;2134;661
Oldenburg (Oldenburg), Stadt;3,0;129795;126358;84221;59915;388;338;83833;59577;4379;3320
Osnabrück, Stadt;3,0;123608;120658;79178;61488;393;501;78785;60987;3780;2530
Wilhelmshaven, Stadt;3,0;61706;64170;32937;24125;315;219;32622;23906;3021;1662
Ammerland;3,0;97566;95337;63255;46951;463;569;62792;46382;4419;2960
Aurich;3,0;153372;152222;92401;77325;1377;1502;91024;75823;8282;3358
Cloppenburg;3,0;120227;117936;66148;59731;407;643;65741;59088;4903;2187
Emsland;3,0;239069;236116;150178;121346;991;843;149187;120503;8120;3703
Friesland;3,0;81384;80352;50517;39529;527;579;49990;38950;3873;2331
Grafschaft Bentheim;3,0;97968;97142;65766;49591;427;294;65339;49297;3088;1361
Leer;3,0;131488;129177;73354;63222;640;1117;72714;62105;6572;3287
Oldenburg;3,0;101026;99395;63567;54677;287;534;63280;54143;4914;3321
Osnabrück;3,0;272973;271647;171071;143832;1109;1134;169962;142698;9553;5135
Vechta;3,0;101152;99942;65089;51475;367;415;64722;51060;3927;1793
Wesermarsch;3,0;69579;70534;37953;29868;294;305;37659;29563;2973;1614
Wittmund;3,0;46072;45632;24414;21812;232;315;24182;21497;2118;1067
Niedersachsen;99,0;6119552;6126291;3766076;3006852;24531;28617;3741545;2978235;297385;160342
Bremen, Stadt;4,0;390038;400711;254481;166340;3115;1159;251366;165181;17977;9512
Bremerhaven, Stadt;4,0;80172;83017;41806;28689;812;307;40994;28382;4473;1693
Bremen;99,0;470210;483728;296287;195029;3927;1466;292360;193563;22450;11205
Düsseldorf, Stadt;5,0;414530;415747;263153;223845;1417;2483;261736;221362;18079;12533
Duisburg, Stadt;5,0;325373;336313;162888;143261;1549;1944;161339;141317;19359;10157
Essen, Stadt;5,0;416106;428584;246269;203073;1877;2118;244392;200955;26304;12010
Krefeld, Stadt;5,0;162065;165558;93883;79988;776;1143;93107;78845;7248;4623
Mönchengladbach, Stadt;5,0;188522;192506;103352;86904;982;1377;102370;85527;8868;4374
Mülheim an der Ruhr, Stadt;5,0;123207;125981;77168;65994;572;916;76596;65078;7396;4724
Oberhausen, Stadt;5,0;150624;155439;82902;70811;851;1230;82051;69581;10010;4090
Remscheid, Stadt;5,0;77129;79005;43470;36218;455;583;43015;35635;4254;2108
Solingen, Klingenstadt;5,0;112713;113987;64681;53495;496;718;64185;52777;5869;3109
Wuppertal, Stadt;5,0;238998;245963;140535;118361;1050;1352;139485;117009;13628;7052
Kleve;5,0;227070;227084;136898;119292;1125;1825;135773;117467;8693;5358
Mettmann;5,0;367255;370957;234389;201473;1810;2714;232579;198759;20603;13114
Rhein-Kreis Neuss;5,0;334970;334173;211310;175598;1588;1986;209722;173612;16801;9916
Viersen;5,0;228023;228136;141515;120707;1125;1612;140390;119095;9873;6179
Wesel;5,0;356669;360478;218516;190119;1807;3004;216709;187115;19658;9844
Bonn, Stadt;5,0;228055;227483;158398;136146;748;1592;157650;134554;9418;7848
Köln, Stadt;5,0;740448;729081;478587;387748;2527;3759;476060;383989;29372;21176
Leverkusen, Stadt;5,0;116207;117710;69726;57450;580;736;69146;56714;6510;3768
Städteregion Aachen;5,0;405298;408743;249038;222895;1758;3265;247280;219630;17064;8806
Düren;5,0;199697;200004;120531;107570;1259;1814;119272;105756;11541;5533
Rhein-Erft-Kreis;5,0;346326;345437;220996;180617;1807;2557;219189;178060;20340;9048
Euskirchen;5,0;151478;148868;92833;78817;889;1278;91944;77539;8877;4409
Heinsberg;5,0;191077;189213;112550;102648;1176;2100;111374;100548;9358;4404
Oberbergischer Kreis;5,0;207897;209600;126841;113900;1184;1703;125657;112197;11601;6387
Rheinisch-Bergischer Kreis;5,0;218103;217229;148330;125455;866;1233;147464;124222;10646;7633
Rhein-Sieg-Kreis;5,0;455483;449917;300253;262151;2237;3395;298016;258756;24211;15145
Bottrop, Stadt;5,0;87999;89473;52298;44529;495;590;51803;43939;6387;2472
Gelsenkirchen, Stadt;5,0;172667;180811;88496;81747;853;1420;87643;80327;14398;6131
Münster, Stadt;5,0;234502;230294;172718;142460;653;1174;172065;141286;6883;5819
Borken;5,0;278982;276875;181446;155070;997;1902;180449;153168;9778;5204
Coesfeld;5,0;173128;171164;120049;102969;643;1050;119406;101919;6513;3782
Recklinghausen;5,0;469806;479057;274015;236191;2259;3756;271756;232435;31144;12918
Steinfurt;5,0;340622;338268;221206;194990;1366;2730;219840;192260;12331;6251
Warendorf;5,0;209212;210359;135952;120687;923;1678;135029;119009;9035;4738
Bielefeld, Stadt;5,0;237243;238932;151344;127375;1114;1609;150230;125766;11498;6272
Gütersloh;5,0;263291;262976;164120;141757;1124;2150;162996;139607;12505;6716
Herford;5,0;191048;193351;113252;102072;865;1621;112387;100451;11158;5766
Höxter;5,0;111469;113628;69376;65911;603;1239;68773;64672;5650;2924
Lippe;5,0;267750;271166;164091;146244;1464;2445;162627;143799;15680;7894
Minden-Lübbecke;5,0;240181;243588;141876;123748;1074;1974;140802;121774;12816;6437
Paderborn;5,0;230946;227655;139286;119851;994;1606;138292;118245;11131;5932
Bochum, Stadt;5,0;271416;279538;165855;140112;1364;1803;164491;138309;15598;7878
Dortmund, Stadt;5,0;412595;420999;241207;199861;1679;3146;239528;196715;22013;11693
Hagen, Stadt der FernUniversität;5,0;130560;135884;72691;65301;641;1037;72050;64264;9077;4058
Hamm, Stadt;5,0;125696;127995;72575;68038;601;1365;71974;66673;7847;2980
Herne, Stadt;5,0;110657;114782;59376;50556;647;792;58729;49764;7776;3224
