region;subregion;eligible_voters_19;eligible_voters_14;voters_19;voters_14;invalid_19;invalid_14;valid_19;valid_14;afd_19;afd_14
Ennepe-Ruhr-Kreis;5,0;251943;256497;156316;134030;1202;1781;155114;132249;14231;7832
Hochsauerlandkreis;5,0;201504;205528;125070;113822;808;1772;124262;112050;9206;5111
Märkischer Kreis;5,0;302136;311957;170134;146283;1480;2116;168654;144167;16988;9394
Olpe;5,0;102295;103744;64922;56226;454;683;64468;55543;4728;3278
Siegen-Wittgenstein;5,0;211301;215420;130012;115233;983;1717;129029;113516;13427;7179
Soest;5,0;232462;232293;140546;123332;875;1794;139671;121538;11331;6002
Unna;5,0;304843;309601;181778;158808;1557;2336;180221;156472;17690;8491
Nordrhein-Westfalen;99,0;13149577;13265031;8069019;6941739;60229;95723;8008790;6846016;682400;369724
Darmstadt, Wissenschaftsstadt;6,0;107437;105493;71045;51129;410;439;70635;50690;4569;3451
Frankfurt am Main, Stadt;6,0;429856;418278;258304;186201;1371;1446;256933;184755;17316;14716
Offenbach am Main, Stadt;6,0;67788;66880;34927;24839;320;319;34607;24520;3500;2344
Wiesbaden, Landeshauptstadt;6,0;188034;189820;111027;78728;975;643;110052;78085;9667;7161
Bergstraße;6,0;198695;200057;120229;90704;1364;1519;118865;89185;13356;7904
Darmstadt-Dieburg;6,0;215429;213600;136397;97400;1647;1456;134750;95944;12508;7940
Groß-Gerau;6,0;176014;175171;100854;73713;1180;1148;99674;72565;10435;6600
Hochtaunuskreis;6,0;164348;165167;107046;83370;636;799;106410;82571;9165;8896
Main-Kinzig-Kreis;6,0;299123;300763;168204;120109;1925;1847;166279;118262;20729;12553
Main-Taunus-Kreis;6,0;165816;166024;106307;82454;826;920;105481;81534;9479;9551
Odenwaldkreis;6,0;70869;72044;39925;31232;598;618;39327;30614;4560;2852
Offenbach;6,0;238715;239582;142756;103416;1431;1338;141325;102078;14225;9763
Rheingau-Taunus-Kreis;6,0;138642;138630;89677;64250;930;745;88747;63505;8663;6097
Wetteraukreis;6,0;225720;224655;131970;90437;1423;1032;130547;89405;13745;8898
Gießen;6,0;200804;198130;115449;81310;1061;1018;114388;80292;11064;6914
Lahn-Dill-Kreis;6,0;189854;192664;99745;64892;1108;723;98637;64169;11847;5574
Limburg-Weilburg;6,0;128963;130500;71311;50251;781;581;70530;49670;7821;5053
Marburg-Biedenkopf;6,0;183183;185360;104228;72844;689;765;103539;72079;9621;5397
Vogelsbergkreis;6,0;84549;86636;47658;36194;647;706;47011;35488;5823;3369
Kassel, documenta-Stadt;6,0;140438;142751;77652;57059;663;592;76989;56467;5747;4560
Fulda;6,0;169880;169360;97074;66281;1004;837;96070;65444;12312;5860
Hersfeld-Rotenburg;6,0;93123;96421;51375;37534;671;509;50704;37025;6717;3651
Kassel;6,0;188527;190823;106538;78845;1478;1485;105060;77360;10021;7277
Schwalm-Eder-Kreis;6,0;142375;145071;79752;62701;1114;1549;78638;61152;8703;5466
Waldeck-Frankenberg;6,0;122990;126068;64235;46887;627;582;63608;46305;6481;3663
Werra-Meißner-Kreis;6,0;80896;83046;45003;35088;656;698;44347;34390;4720;2996
Hessen;99,0;4412068;4422994;2578688;1867868;25535;24314;2553153;1843554;252794;168506
Koblenz, kreisfreie Stadt;7,0;83969;84878;51017;41846;542;535;50475;41311;3736;2741
Ahrweiler;7,0;101203;100539;66724;57741;883;1104;65841;56637;5224;4093
Altenkirchen (Westerwald);7,0;100084;101504;60892;56088;954;1191;59938;54897;5820;3386
Bad Kreuznach;7,0;120062;121149;76655;70980;1389;1708;75266;69272;7705;4583
Birkenfeld;7,0;63925;66293;37437;35126;846;1070;36591;34056;3964;2209
Cochem-Zell;7,0;48692;49773;33505;31627;784;1018;32721;30609;2504;2100
Mayen-Koblenz;7,0;166494;166771;103595;92494;1666;1977;101929;90517;8675;5467
Neuwied;7,0;138233;138629;85529;75190;1172;1394;84357;73796;7703;5476
Rhein-Hunsrück-Kreis;7,0;80638;81316;54996;50220;1040;1287;53956;48933;4763;2751
Rhein-Lahn-Kreis;7,0;94896;96743;62471;56918;1132;1365;61339;55553;5778;4180
Westerwaldkreis;7,0;154465;154995;100878;91273;1719;2303;99159;88970;9443;5578
Trier, kreisfreie Stadt;7,0;80431;81791;48513;39723;495;550;48018;39173;3223;2298
Bernkastel-Wittlich;7,0;86098;87851;56022;52323;1166;1698;54856;50625;4197;2642
Eifelkreis Bitburg-Prüm;7,0;72189;73408;50043;46126;1222;1659;48821;44467;3355;1989
Vulkaneifel;7,0;47996;48766;30759;29543;673;990;30086;28553;2180;1544
Trier-Saarburg;7,0;112648;112654;79057;69308;1456;2046;77601;67262;5364;3747
Frankenthal (Pfalz), kreisfreie Stadt;7,0;33348;34215;19034;16468;339;299;18695;16169;2532;1322
Kaiserslautern, kreisfreie Stadt;7,0;71365;73674;38987;32162;556;498;38431;31664;4622;2088
Landau in der Pfalz, kreisfreie Stadt;7,0;36257;35005;24124;19137;268;321;23856;18816;1881;1369
Ludwigshafen am Rhein, kreisfreie Stadt;7,0;102451;104309;55399;46979;1145;869;54254;46110;7684;4449
Mainz, kreisfreie Stadt;7,0;150251;146148;102415;80511;898;906;101517;79605;5966;4777
Neustadt an der Weinstraße, kreisfreie Stadt;7,0;40621;41441;26537;22844;318;359;26219;22485;2611;1400
Pirmasens, kreisfreie Stadt;7,0;30963;32144;15433;14448;375;393;15058;14055;2245;886
Speyer, kreisfreie Stadt;7,0;36237;36768;21948;18433;274;263;21674;18170;2278;1266
Worms, kreisfreie Stadt;7,0;58080;59521;32205;29072;544;632;31661;28440;3942;2212
Zweibrücken, kreisfreie Stadt;7,0;25997;26888;13706;11738;230;243;13476;11495;1583;827
Alzey-Worms;7,0;98159;97080;66606;59159;1238;1640;65368;57519;8168;4480
Bad Dürkheim;7,0;104795;104828;73282;63248;1087;1388;72195;61860;8223;4452
Donnersbergkreis;7,0;58275;58725;38700;34773;755;964;37945;33809;4742;2381
Germersheim;7,0;94398;94277;62054;54520;1065;1262;60989;53258;8686;4122
Kaiserslautern;7,0;81200;81706;54712;50296;1293;1538;53419;48758;6906;3060
Kusel;7,0;56613;58242;37705;35735;958;1235;36747;34500;4989;2121
Südliche Weinstraße;7,0;87144;87691;62279;55485;1194;1574;61085;53911;6541;3790
Rhein-Pfalz-Kreis;7,0;117009;116626;80643;69431;1142;1318;79501;68113;9531;5708
Mainz-Bingen;7,0;158871;157364;112369;98591;1497;1933;110872;96658;9302;6066
Südwestpfalz;7,0;78708;80182;55974;53610;1495;2172;54479;51438;6785;3042
Rheinland-Pfalz;99,0;3072765;3093894;1992205;1763166;33810;41702;1958395;1721464;192851;114602
Stuttgart, Landeshauptstadt;8,0;380985;378862;255470;201380;2172;1725;253298;199655;18876;14887
Böblingen;8,0;262708;258396;173851;138646;2542;2146;171309;136500;17562;12193
Esslingen;8,0;365828;363627;242055;195920;3565;3058;238490;192862;22958;14586
Göppingen;8,0;178436;179093;111874;90071;2128;2101;109746;87970;13732;7571
Ludwigsburg;8,0;365970;363677;244616;198535;3596;3283;241020;195252;23909;16232
Rems-Murr-Kreis;8,0;297477;296116;193131;156642;2913;2749;190218;153893;21895;15467
Heilbronn, Stadt;8,0;77185;78309;42835;33272;636;503;42199;32769;5495;2793
Heilbronn;8,0;242435;239085;155172;123791;3401;3266;151771;120525;19561;10041
Hohenlohekreis;8,0;82480;82285;51822;42348;857;988;50965;41360;6074;2930
Schwäbisch Hall;8,0;143275;141514;86854;68197;1594;1883;85260;66314;9753;4771
Main-Tauber-Kreis;8,0;101414;103283;67155;59300;1544;1809;65611;57491;7056;3894
Heidenheim;8,0;93726;95219;54670;44594;1144;983;53526;43611;5471;3252
Ostalbkreis;8,0;231322;230415;145645;116074;3025;3228;142620;112846;14234;7846
Baden-Baden, Stadt;8,0;38487;39257;23731;18657;328;273;23403;18384;2235;1665
Karlsruhe, Stadt;8,0;209516;207006;135402;101277;1346;1071;134056;100206;10787;7961
Karlsruhe;8,0;323238;323232;209814;173398;4275;4865;205539;168533;23146;14325
Rastatt;8,0;167254;167850;103779;83628;2644;2723;101135;80905;11743;7112
Heidelberg, Stadt;8,0;100384;98268;70400;53822;535;452;69865;53370;4303;3611
Mannheim, Universitätsstadt;8,0;199916;200318;116585;88285;1484;1317;115101;86968;12287;8437
Neckar-Odenwald-Kreis;8,0;108354;109800;68991;59582;1675;1963;67316;57619;7940;3822
Rhein-Neckar-Kreis;8,0;399897;399656;263457;216540;5367;6007;258090;210533;27721;18401
Pforzheim, Stadt;8,0;75907;77938;40419;29737;793;519;39626;29218;6995;4232
Calw;8,0;112394;110858;71274;57453;1213;1381;70061;56072;9387;5761
Enzkreis;8,0;143293;142528;94043;76435;1604;1947;92439;74488;11985;8538
Freudenstadt;8,0;86400;86824;53081;44445;1045;1111;52036;43334;6600;3479
Freiburg im Breisgau, Stadt;8,0;157789;155449;106346;85548;946;830;105400;84718;5586;4825
Breisgau-Hochschwarzwald;8,0;193103;190289;130008;109276;2824;2788;127184;106488;9638;7879
Emmendingen;8,0;123701;121857;81001;65600;1839;2025;79162;63575;6466;3822
Ortenaukreis;8,0;317094;316303;192979;161212;4389;5739;188590;155473;18858;11084
Rottweil;8,0;102914;103195;63538;53160;1374;1806;62164;51354;7203;4542
Schwarzwald-Baar-Kreis;8,0;149042;150541;87251;74092;1829;1988;85422;72104;8413;5925
Tuttlingen;8,0;95213;96043;57744;48601;1459;1640;56285;46961;6124;3386
Konstanz;8,0;205147;202911;129936;102839;2207;2225;127729;100614;10243;6970
Lörrach;8,0;161560;162717;97521;78919;1840;2032;95681;76887;8632;5303
Waldshut;8,0;119122;119139;73466;61692;1431;1672;72035;60020;6486;3800
Reutlingen;8,0;200184;199935;124190;100213;1742;2036;122448;98177;13140;8626
Tübingen;8,0;161993;158007;113120;91219;1230;1347;111890;89872;8199;6624
Zollernalbkreis;8,0;138389;139454;82245;68190;1733;2010;80512;66180;10153;5630
Ulm, Universitätsstadt;8,0;83482;82591;53462;41224;513;421;52949;40803;3798;2738
Alb-Donau-Kreis;8,0;140125;138961;93883;79911;1720;1956;92163;77955;9144;5221
Biberach;8,0;146207;143105;94008;77407;1817;2159;92191;75248;8583;4459
Bodenseekreis;8,0;158275;156520;105627;85430;1538;1558;104089;83872;8966;5630
Ravensburg;8,0;208837;206250;133795;106823;1981;2238;131814;104585;9979;5886
Sigmaringen;8,0;96823;96443;61177;51879;1304;1669;59873;50210;6120;3343
Baden-Württemberg;99,0;7747281;7713126;4957423;4015264;85142;89490;4872281;3925774;487436;309500
Ingolstadt, Stadt;9,0;91126;90683;48289;30667;173;100;48116;30567;5198;2648
München, Landeshauptstadt;9,0;928090;924005;607234;422743;952;950;606282;421793;36282;32869
Rosenheim, Stadt;9,0;41410;41596;23722;15629;65;51;23657;15578;2241;1696
Altötting;9,0;82914;82981;46301;30679;114;103;46187;30576;4051;2332
Berchtesgadener Land;9,0;75243;74848;43460;27428;152;108;43308;27320;3802;2193
Bad Tölz-Wolfratshausen;9,0;93112;92336;58996;40436;169;191;58827;40245;4547;4215
Dachau;9,0;105723;102640;68828;44674;166;122;68662;44552;5770;4079
Ebersberg;9,0;100417;97182;68997;46287;154;135;68843;46152;4798;4032
Eichstätt;9,0;98064;96247;62387;42483;167;137;62220;42346;6022;2846
Erding;9,0;99996;96834;63272;40820;181;166;63091;40654;5797;3725
Freising;9,0;121726;119723;77503;51944;193;247;77310;51697;6414;4998
Fürstenfeldbruck;9,0;155179;155035;104528;71977;239;205;104289;71772;7694;6591
Garmisch-Partenkirchen;9,0;65722;65622;41459;28061;152;92;41307;27969;3532;3079
Landsberg am Lech;9,0;90787;88105;60365;38543;139;112;60226;38431;4381;3125
Miesbach;9,0;73516;72572;47866;30495;123;106;47743;30389;3538;3052
Mühldorf a.Inn;9,0;85802;84607;48883;31554;136;113;48747;31441;5008;2730
München;9,0;238218;235289;168469;116090;326;360;168143;115730;11249;10247
Neuburg-Schrobenhausen;9,0;72036;70878;39960;29953;85;145;39875;29808;3669;2514
Pfaffenhofen a.d.Ilm;9,0;93530;91211;55817;39910;139;197;55678;39713;5752;3200
Rosenheim;9,0;195791;191063;123504;79735;281;248;123223;79487;10275;7391
Starnberg;9,0;97203;96460;69908;49854;120;126;69788;49728;4495;4499
Traunstein;9,0;134120;132926;79687;52553;210;157;79477;52396;6002;3544
Weilheim-Schongau;9,0;102661;100654;65600;44488;186;141;65414;44347;4847;4572
Landshut, Stadt;9,0;49256;48822;28802;18488;73;57;28729;18431;2552;1525
Passau, Stadt;9,0;38257;38468;22466;14490;55;48;22411;14442;1824;1156
Straubing, Stadt;9,0;34121;34667;17101;11029;68;51;17033;10978;1993;804
Deggendorf;9,0;91964;91418;47103;27570;109;93;46994;27477;5359;2348
Freyung-Grafenau;9,0;63757;63709;31715;16875;76;58;31639;16817;3627;1235
Kelheim;9,0;88551;87352;53127;32825;136;108;52991;32717;4731;2022
Landshut;9,0;118913;116297;73247;46391;176;127;73071;46264;7140;2885
Passau;9,0;150646;149285;79632;45962;185;162;79447;45800;8401;3625
Regen;9,0;62104;62610;29571;16498;74;69;29497;16429;3936;1501
Rottal-Inn;9,0;92148;91946;50147;30433;141;141;50006;30292;4664;2231
Straubing-Bogen;9,0;77829;76667;45784;30366;106;90;45678;30276;4828;1796
Dingolfing-Landau;9,0;71333;71650;38793;25503;107;92;38686;25411;4382;1648
Amberg, Stadt;9,0;32373;33217;16912;11512;68;38;16844;11474;1842;1096
Regensburg, Stadt;9,0;106300;103432;64366;41675;120;94;64246;41581;4576;3162
Weiden i.d.OPf., Stadt;9,0;32545;33246;17022;11551;61;46;16961;11505;1818;1216
Amberg-Sulzbach;9,0;81933;82522;49404;33538;168;153;49236;33385;4705;2365
Cham;9,0;102050;102140;54266;31749;125;137;54141;31612;6546;2192
Neumarkt i.d.OPf.;9,0;101502;99620;63990;42576;144;139;63846;42437;5406;2874
Neustadt a.d.Waldnaab;9,0;75822;76683;44479;31408;147;145;44332;31263;4367;2408
Regensburg;9,0;147691;146252;92345;61865;264;256;92081;61609;8832;4449
Schwandorf;9,0;114507;114360;63717;41070;184;163;63533;40907;7421;3001
Tirschenreuth;9,0;58961;60297;34674;24073;109;96;34565;23977;2914;1416
Bamberg, Stadt;9,0;55702;55010;33617;22127;93;81;33524;22046;2621;1550
Bayreuth, Stadt;9,0;57162;57280;32379;21750;74;83;32305;21667;2426;1757
Coburg, Stadt;9,0;31595;32359;17848;12559;57;33;17791;12526;1352;995
Hof, Stadt;9,0;33055;34221;16489;11294;54;54;16435;11240;1926;1075
Bamberg;9,0;116313;115598;70364;46669;177;190;70187;46479;7933;3186
Bayreuth;9,0;84304;85177;50453;34697;135;120;50318;34577;4269;2556
Coburg;9,0;69832;70794;40006;28104;112;100;39894;28004;3555;2053
Forchheim;9,0;90648;89698;57875;39835;143;130;57732;39705;4968;2874
Hof;9,0;76879;79214;43751;32049;124;132;43627;31917;4528;2381
Kronach;9,0;54955;56593;31142;21125;114;145;31028;20980;2896;1286
Kulmbach;9,0;58900;60402;33827;23288;105;87;33722;23201;3218;1915
Lichtenfels;9,0;53699;54645;30999;21779;108;83;30891;21696;3062;1525
Wunsiedel i.Fichtelgebirge;9,0;58033;60370;31669;22246;140;126;31529;22120;3428;1652
Ansbach, Stadt;9,0;30644;31263;16542;11331;68;46;16474;11285;1683;882
Erlangen, Stadt;9,0;77514;77383;51535;37320;113;88;51422;37232;3041;2473
Fürth, Stadt;9,0;86896;86007;49124;31368;172;145;48952;31223;4348;2542
Nürnberg, Stadt;9,0;342881;349601;201242;143804;590;811;200652;142993;17661;12070
Schwabach, Stadt;9,0;30044;30006;17944;12459;75;52;17869;12407;1508;1028
Ansbach;9,0;140434;139801;83057;55113;228;194;82829;54919;6957;3988
Erlangen-Höchstadt;9,0;103993;102993;69148;48417;183;154;68965;48263;5296;3671
Fürth;9,0;91862;90790;59550;40010;154;140;59396;39870;5563;3442
Nürnberger Land;9,0;130181;129375;84954;57895;220;233;84734;57662;7088;4275
Neustadt a.d.Aisch-Bad Windsheim;9,0;77458;77421;47420;33005;165;141;47255;32864;3787;2111
Roth;9,0;98021;97193;61851;41456;173;167;61678;41289;5260;2999
Weißenburg-Gunzenhausen;9,0;72142;72500;42249;29964;140;138;42109;29826;3206;2058
Aschaffenburg, Stadt;9,0;50032;49917;28272;17112;146;123;28126;16989;2517;1443
Schweinfurt, Stadt;9,0;37301;38947;18077;13598;83;91;17994;13507;2078;989
Würzburg, Stadt;9,0;98961;99770;62514;41643;150;133;62364;41510;3692;2895
Aschaffenburg;9,0;133359;134223;83199;53199;393;349;82806;52850;7486;4404
Bad Kissingen;9,0;83393;84410;50100;35211;177;177;49923;35034;4524;2347
Rhön-Grabfeld;9,0;63683;64780;37849;26640;151;135;37698;26505;2850;1370
Haßberge;9,0;68076;68335;41409;29204;141;119;41268;29085;3867;1396
Kitzingen;9,0;69339;69555;42702;30027;128;124;42574;29903;3447;1688
Miltenberg;9,0;95625;96324;57058;37507;281;222;56777;37285;4661;2355
Main-Spessart;9,0;99845;101181;63090;42611;237;201;62853;42410;4917;3342
Schweinfurt;9,0;91257;91692;57003;40853;198;209;56805;40644;5026;2708
Würzburg;9,0;127271;127059;86646;60414;259;250;86387;60164;5991;4124
Augsburg, Stadt;9,0;190297;188472;105747;68429;363;267;105384;68162;9421;7078
Kaufbeuren, Stadt;9,0;31409;31430;16454;11037;52;40;16402;10997;1676;1076
Kempten (Allgäu), Stadt;9,0;48801;48210;27480;17296;110;65;27370;17231;2545;1865
Memmingen, Stadt;9,0;29480;29910;16907;11160;95;54;16812;11106;1683;1231
Aichach-Friedberg;9,0;101054;98943;63818;40818;175;130;63643;40688;6036;4032
Augsburg;9,0;188792;185425;113784;74330;345;313;113439;74017;10529;7764
Dillingen a.d.Donau;9,0;72685;72224;39769;26453;109;103;39660;26350;4457;2060
Günzburg;9,0;90250;89371;48920;31431;139;117;48781;31314;5322;3264
Neu-Ulm;9,0;124023;122776;69347;45719;248;190;69099;45529;6965;4909
Lindau (Bodensee);9,0;60124;59362;37133;23694;120;101;37013;23593;2454;1616
Ostallgäu;9,0;106144;103730;65320;42411;195;173;65125;42238;4789;3412
