Nr,region,subregion,eligible_voters_19,eligible_voters_14,voters_19,voters_14,invalid_19,invalid_14,valid_19,valid_14,afd_19,afd_14,afd_vot19,afd_eli19,turnout19,turnout14,turnout19_14,afd_val19,afd_val14,vot19_14,east
1001,"Flensburg, Stadt",1.0,70431.0,70929.0,39647.0,25350.0,237.0,176.0,39410.0,25174.0,2477.0,1583.0,6.247635382248341,3.5169172665445614,0.5629197370476069,0.35739965317430106,0.20552008387330584,6.285206800304491,6.288233892110908,-0.003027091806417026,0
1002,"Kiel, Landeshauptstadt",1.0,186195.0,188135.0,109595.0,75741.0,577.0,405.0,109018.0,75336.0,6459.0,4418.0,5.893517040010949,3.4689438491903655,0.58860334595451,0.40258856672070586,0.18601477923380416,5.924709680970115,5.864394180736965,0.06031550023315013,0
1003,"Lübeck, Hansestadt",1.0,166530.0,167198.0,90946.0,62933.0,461.0,424.0,90485.0,62509.0,6773.0,4334.0,7.447276405779253,4.067135050741609,0.5461238215336576,0.3763980430387923,0.16972577849486525,7.48521854451014,6.933401590171015,0.5518169543391247,0
1004,"Neumünster, Stadt",1.0,60215.0,60970.0,29036.0,27659.0,231.0,409.0,28805.0,27250.0,2761.0,1960.0,9.508885521421684,4.585236236818069,0.482205430540563,0.453649335738888,0.02855609480167498,9.585141468495053,7.192660550458715,2.3924809180363376,0
1051,Dithmarschen,1.0,107045.0,107804.0,58244.0,42819.0,475.0,469.0,57769.0,42350.0,5121.0,2325.0,8.792321955909621,4.783969358680928,0.5441076182913728,0.3971930540610738,0.14691456423029897,8.86461597050321,5.489964580873672,3.3746513896295385,0
1053,Herzogtum Lauenburg,1.0,152666.0,150105.0,91899.0,69625.0,609.0,588.0,91290.0,69037.0,8355.0,5182.0,9.09150262788496,5.472731321970838,0.6019611439351263,0.4638419772825689,0.13811916665255747,9.152152481104174,7.5061199067166875,1.6460325743874868,0
1054,Nordfriesland,1.0,131877.0,130887.0,77635.0,53913.0,446.0,419.0,77189.0,53494.0,4373.0,3038.0,5.632768725445998,3.3159686677737588,0.5886924937631277,0.4119049256228655,0.1767875681402622,5.665315006024175,5.679141585972259,-0.013826579948084117,0
1055,Ostholstein,1.0,165528.0,165120.0,96712.0,70141.0,723.0,618.0,95989.0,69523.0,7752.0,5439.0,8.015551327653238,4.683195592286501,0.5842636895268474,0.4247880329457364,0.15947565658111096,8.075925366448239,7.823310271420969,0.2526150950272701,0
1056,Pinneberg,1.0,239300.0,236519.0,150689.0,108214.0,1005.0,784.0,149684.0,107430.0,11681.0,7628.0,7.751727067005554,4.881320518178019,0.6297074801504388,0.45752772504534517,0.1721797551050936,7.80377328238155,7.100437494182259,0.7033357881992908,0
1057,Plön,1.0,105085.0,104325.0,66925.0,48942.0,424.0,374.0,66501.0,48568.0,4846.0,3390.0,7.240941352259993,4.61150497216539,0.6368653946804967,0.4691301222142344,0.16773527246626235,7.287108464534368,6.979904463844506,0.307204000689862,0
1058,Rendsburg-Eckernförde,1.0,218614.0,216954.0,136614.0,99710.0,793.0,765.0,135821.0,98945.0,9206.0,6678.0,6.738694423704744,4.211075228484909,0.6249096581188762,0.4595905122744914,0.16531914584438484,6.778038742168,6.749204103289706,0.028834638878294072,0
1059,Schleswig-Flensburg,1.0,159674.0,156854.0,95525.0,66056.0,618.0,519.0,94907.0,65537.0,5705.0,4273.0,5.972258571054698,3.5729047935167904,0.598250184751431,0.4211304780241498,0.17711970672728117,6.011147755170851,6.519981079390267,-0.5088333242194159,0
1060,Segeberg,1.0,212630.0,209166.0,126584.0,88572.0,766.0,606.0,125818.0,87966.0,10296.0,6364.0,8.133729381280414,4.842214174857734,0.5953252128109863,0.4234531424801354,0.1718720703308509,8.183248819723728,7.234613373348794,0.9486354463749338,0
1061,Steinburg,1.0,104839.0,105504.0,60505.0,44391.0,387.0,382.0,60118.0,44009.0,4675.0,2563.0,7.726634162465912,4.459218420625912,0.5771230171977986,0.42075181983621474,0.15637119736158384,7.77637313283875,5.8238087663886935,1.9525643664500567,0
1062,Stormarn,1.0,188732.0,186619.0,123481.0,94016.0,617.0,759.0,122864.0,93257.0,9778.0,6934.0,7.918627157214471,5.180891422758196,0.6542663671237522,0.5037857881566186,0.15048057896713363,7.958393019924468,7.4353667821182325,0.5230262378062358,0
2000,"Hamburg, Freie und Hansestadt",2.0,1302548.0,1283323.0,805905.0,558277.0,9473.0,5406.0,796432.0,552871.0,51649.0,33239.0,6.408819898126951,3.965228152820472,0.6187142431603289,0.4350245417560505,0.18368970140427837,6.485048315487073,6.012071532057207,0.47297678342986593,0
3101,"Braunschweig, Stadt",3.0,190413.0,194345.0,122195.0,99682.0,573.0,1050.0,121622.0,98632.0,8329.0,5550.0,6.816154507140226,4.3741761329321,0.6417366461323544,0.512912603874553,0.12882404225780142,6.8482675831675195,5.626977045989132,1.2212905371783878,0
3102,"Salzgitter, Stadt",3.0,72737.0,75270.0,37215.0,34611.0,393.0,483.0,36822.0,34128.0,5519.0,1976.0,14.830041649872364,7.587610157141482,0.5116378184417835,0.459824631327222,0.051813187114561454,14.98832219868557,5.789967182372246,9.198355016313323,0
3103,"Wolfsburg, Stadt",3.0,89191.0,92913.0,50390.0,38340.0,324.0,254.0,50066.0,38086.0,5105.0,2512.0,10.130978368723953,5.7236716709085,0.5649673173302239,0.41264408640340966,0.1523232309268142,10.196540566452283,6.5955994328624685,3.6009411335898145,0
3151,Gifhorn,3.0,136223.0,134817.0,82780.0,64411.0,507.0,597.0,82273.0,63814.0,8047.0,3108.0,9.72094708866876,5.90722565205582,0.6076800540290553,0.47776615708701425,0.12991389694204108,9.780851555188216,4.870404613407716,4.910446941780499,0
3153,Goslar,3.0,107632.0,112117.0,62885.0,43027.0,495.0,290.0,62390.0,42737.0,6409.0,2905.0,10.191619623121571,5.9545488330608,0.5842593280808681,0.38376874158245405,0.20049058649841406,10.272479564032698,6.797388679598475,3.4750908844342234,0
3154,Helmstedt,3.0,73182.0,74543.0,42754.0,31577.0,326.0,284.0,42428.0,31293.0,3895.0,1688.0,9.110258689245452,5.322347025224782,0.5842146976032357,0.4236078505023946,0.16060684710084117,9.180258319977373,5.3941776116064295,3.7860807083709433,0
3155,Northeim,3.0,107594.0,110332.0,60355.0,53172.0,361.0,561.0,59994.0,52611.0,4877.0,2894.0,8.080523568884104,4.5327806383255576,0.5609513541647304,0.4819272740456078,0.0790240801191226,8.12914624795813,5.500750793560282,2.6283954543978467,0
