"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","","Schuldnerquoten in %","","","","",""
"","","","","Typ  2013","2014","2015","2016","2017","2018"
"151.","Hildesheim","Niedersachsen","LK","10,98","11,07","11,03","10,97","10,80","10,65"
"152.","Hochsauerlandkreis","Nordrhein-Westfalen","K","10,37","10,40","10,24","10,24","10,10","10,13"
"153.","Hochtaunuskreis","Hessen","LK","7,07","7,11","7,17","7,19","7,09","7,03"
"154.","Hof","Bayern","LK","8,60","8,74","8,74","8,93","8,89","8,89"
"155.","Hof, Stadt","Bayern","KS","13,39","13,49","13,62","13,96","14,18","14,02"
"156.","Hohenlohekreis","Baden-Württemberg","LK","5,88","6,06","6,17","6,34","6,43","6,41"
"157.","Holzminden","Niedersachsen","LK","11,91","11,93","12,04","12,17","12,18","12,48"
"158.","Höxter","Nordrhein-Westfalen","K","8,03","8,15","8,18","8,36","8,42","8,57"
"159.","Ilm-Kreis","Thüringen","LK","9,18","9,21","9,27","9,50","9,49","9,57"
"160.","Ingolstadt, Stadt","Bayern","KS","7,27","7,20","7,37","7,27","7,30","7,30"
"161.","Jena, Stadt","Thüringen","KS","5,81","5,70","5,73","5,87","5,94","5,91"
"162.","Jerichower Land","Sachsen-Anhalt","LK","11,74","11,82","11,58","11,90","11,88","11,94"
"163.","Kaiserslautern","Rheinland-Pfalz","LK","9,93","10,12","10,14","10,50","10,56","10,71"
"164.","Kaiserslautern, kreisfreie Stadt","Rheinland-Pfalz","KS","14,60","14,53","14,38","14,81","14,91","14,96"
"165.","Karlsruhe","Baden-Württemberg","LK","7,12","7,29","7,36","7,69","7,74","7,75"
"166.","Karlsruhe, Stadtkreis","Baden-Württemberg","SK","8,70","8,82","9,11","9,51","9,51","9,53"
"167.","Kassel","Hessen","LK","9,06","9,16","9,19","9,30","9,26","9,28"
"168.","Kassel, documenta-Stadt","Hessen","KS","16,32","16,62","16,47","16,37","15,85","15,70"
"169.","Kaufbeuren, Stadt","Bayern","KS","10,66","10,55","10,35","10,70","10,84","10,73"
"170.","Kelheim","Bayern","LK","6,66","6,62","6,56","6,58","6,60","6,55"
"171.","Kempten (Allgäu), Stadt","Bayern","KS","10,33","10,16","9,96","10,21","10,15","10,15"
"172.","Kiel, Landeshauptstadt","Schleswig-Holstein","KS","12,04","12,03","12,17","12,23","12,16","11,96"
"173.","Kitzingen","Bayern","LK","6,31","6,52","6,56","6,63","6,73","6,77"
"174.","Kleve, Kreis","Nordrhein-Westfalen","K","10,21","10,46","10,38","10,58","10,45","10,57"
"175.","Koblenz, kreisfreie Stadt","Rheinland-Pfalz","KS","12,73","12,68","12,17","12,61","12,58","12,45"
"176.","Köln, Stadt","Nordrhein-Westfalen","KS","11,80","11,75","11,85","11,84","11,78","11,67"
"177.","Konstanz","Baden-Württemberg","LK","10,00","10,12","10,15","10,31","10,24","10,18"
"178.","Krefeld, Stadt","Nordrhein-Westfalen","KS","14,48","14,80","14,96","15,03","15,09","15,05"
"179.","Kronach","Bayern","LK","6,86","6,87","6,91","6,89","6,93","6,93"
"180.","Kulmbach","Bayern","LK","7,39","7,39","7,45","7,50","7,59","7,41"
"181.","Kusel","Rheinland-Pfalz","LK","9,42","9,73","10,05","10,45","10,67","10,74"
"182.","Kyffhäuserkreis","Thüringen","LK","10,88","10,97","11,00","11,40","11,40","11,56"
"183.","Lahn-Dill-Kreis","Hessen","LK","9,29","9,45","9,54","9,53","9,51","9,45"
"184.","Landau in der Pfalz, kreisfreie Stadt","Rheinland-Pfalz","KS","9,54","9,26","9,19","9,10","8,86","8,80"
"185.","","Landkreis Rostock  Mecklenburg-Vorpommern","LK","10,05","10,09","9,70","10,01","9,91","9,84"
"186.","Landsberg am Lech","Bayern","LK","5,46","5,33","5,47","5,74","5,69","5,75"
"187.","Landshut","Bayern","LK","5,52","5,46","5,49","5,64","5,65","5,59"
"188.","Landshut, Stadt","Bayern","KS","8,20","8,04","7,99","8,39","8,58","8,75"
"189.","Leer","Niedersachsen","LK","10,67","10,68","10,52","10,66","10,62","10,75"
