"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","","Schuldnerquoten in %","","","","",""
"","","","","Typ  2013","2014","2015","2016","2017","2018"
"1.","Aachen, Städteregion","Nordrhein-Westfalen","SV","11,02","11,06","10,94","11,21","11,11","11,18"
"2.","Ahrweiler","Rheinland-Pfalz","LK","8,72","8,60","8,32","8,61","8,65","8,67"
"3.","Aichach-Friedberg","Bayern","LK","5,27","5,19","5,17","5,58","5,62","5,61"
"4.","Alb-Donau-Kreis","Baden-Württemberg","LK","5,72","5,80","5,90","6,22","6,38","6,49"
"5.","Altenburger Land","Thüringen","LK","8,29","8,66","8,72","8,84","8,87","8,95"
"6.","Altenkirchen (Westerwald)","Rheinland-Pfalz","LK","11,43","11,58","11,09","11,57","11,49","11,56"
"7.","Altmarkkreis Salzwedel","Sachsen-Anhalt","LK","11,85","11,79","11,70","12,10","12,31","12,28"
"8.","Altötting","Bayern","LK","6,62","6,84","6,94","7,02","7,01","7,02"
"9.","Alzey-Worms","Rheinland-Pfalz","LK","9,65","9,66","9,65","9,71","9,40","9,27"
"10.","Amberg, Stadt","Bayern","KS","9,15","9,14","9,43","10,31","10,25","10,10"
"11.","Amberg-Sulzbach","Bayern","LK","5,52","5,71","5,86","6,08","6,17","6,00"
"12.","Ammerland","Niedersachsen","LK","8,84","8,83","8,60","8,58","8,39","8,29"
"13.","Anhalt-Bitterfeld","Sachsen-Anhalt","LK","11,62","11,79","12,00","12,25","12,48","12,66"
"14.","Ansbach","Bayern","LK","5,46","5,56","5,65","5,93","6,10","6,17"
"15.","Ansbach, Stadt","Bayern","KS","9,31","9,57","9,99","10,66","10,56","10,52"
"16.","Aschaffenburg","Bayern","LK","6,75","6,79","6,84","7,02","7,14","7,23"
"17.","Aschaffenburg, Stadt","Bayern","KS","10,64","10,57","10,56","10,85","10,99","11,40"
"18.","Augsburg","Bayern","LK","6,16","6,25","6,38","6,51","6,55","6,49"
"19.","Augsburg, Stadt","Bayern","KS","11,04","10,89","10,92","11,21","11,26","10,96"
"20.","Aurich","Niedersachsen","LK","10,60","10,62","10,47","10,64","10,67","10,74"
"21.","Bad Dürkheim","Rheinland-Pfalz","LK","9,06","9,07","9,11","9,21","9,12","8,96"
"22.","Bad Kissingen","Bayern","LK","6,19","6,20","6,24","6,38","6,49","6,56"
"23.","Bad Kreuznach","Rheinland-Pfalz","LK","10,11","10,20","9,96","9,99","9,93","9,95"
"24.","Bad Tölz-Wolfratshausen","Bayern","LK","6,45","6,39","6,57","6,61","6,72","6,60"
"25.","Baden-Baden, Stadtkreis","Baden-Württemberg","SK","8,89","9,17","9,64","10,20","10,20","10,35"
"26.","Bamberg","Bayern","LK","6,02","6,03","5,98","6,15","6,13","6,00"
"27.","Bamberg, Stadt","Bayern","KS","8,66","8,54","8,31","8,61","8,51","8,12"
"28.","Barnim","Brandenburg","LK","9,84","9,74","9,70","9,73","9,60","9,55"
"29.","Bautzen","Sachsen","LK","7,14","7,45","7,77","8,01","8,11","8,10"
"30.","Bayreuth","Bayern","LK","6,13","6,19","6,30","6,38","6,45","6,33"
"31.","Bayreuth, Stadt","Bayern","KS","9,41","9,27","9,16","9,72","9,92","9,74"
"32.","Berchtesgadener Land","Bayern","LK","6,53","6,41","6,49","6,74","6,76","6,74"
"33.","Bergstraße","Hessen","LK","8,84","8,89","8,90","8,95","8,83","8,86"
