"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","","Schuldnerquoten in %","","","","",""
"","","","","Typ  2013","2014","2015","2016","2017","2018"
"229.","München","Bayern","LK","6,09","5,94","6,09","6,33","6,47","6,40"
"230.","München, Landeshauptstadt","Bayern","KS","8,13","8,01","8,33","8,63","8,92","8,82"
"231.","Münster, Stadt","Nordrhein-Westfalen","KS","8,53","8,32","8,39","8,52","8,42","8,54"
"232.","Neckar-Odenwald-Kreis","Baden-Württemberg","LK","7,40","7,54","7,64","7,83","7,96","7,95"
"233.","Neuburg-Schrobenhausen","Bayern","LK","4,95","5,04","5,08","5,22","5,41","5,42"
"234.","Neumarkt i.d.OPf.","Bayern","LK","5,00","5,20","5,23","5,39","5,42","5,36"
"235.","Neumünster, Stadt","Schleswig-Holstein","KS","16,61","16,94","17,09","17,54","17,80","18,09"
"236.","Neunkirchen","Saarland","LK","11,96","12,07","12,17","12,09","11,96","12,12"
"237.","Neustadt a.d.Aisch-Bad Windsheim","Bayern","LK","6,08","6,25","6,28","6,60","6,84","6,78"
"238.","Neustadt a.d.Waldnaab","Bayern","LK","5,58","5,79","5,98","6,37","6,58","6,69"
"239.","Neustadt a.d. Weinstraße, Stadt","Rheinland-Pfalz","KS","10,56","10,47","10,65","10,67","10,37","10,38"
"240.","Neu-Ulm","Bayern","LK","6,94","6,99","7,16","7,37","7,36","7,41"
"241.","Neuwied","Rheinland-Pfalz","LK","10,69","10,80","10,72","10,84","10,95","10,86"
"242.","Nienburg (Weser)","Niedersachsen","LK","10,26","10,60","10,47","10,89","10,90","10,98"
"243.","Nordfriesland","Schleswig-Holstein","K","10,09","10,32","9,71","9,99","9,82","9,93"
"244.","Nordhausen","Thüringen","LK","9,47","9,82","9,81","10,04","10,19","10,42"
"245.","Nordsachsen","Sachsen","LK","10,14","10,32","10,53","10,97","11,20","11,28"
"246.","","Nordwestmecklenburg  Mecklenburg-Vorpommern","LK","10,20","10,33","10,33","10,51","10,50","10,48"
"247.","Northeim","Niedersachsen","LK","10,80","10,98","10,89","10,89","10,66","10,68"
"248.","Nürnberg, Stadt","Bayern","KS","10,42","10,52","10,80","11,58","11,93","12,01"
"249.","Nürnberger Land","Bayern","LK","6,21","6,42","6,64","6,83","6,84","6,72"
"250.","Oberallgäu","Bayern","LK","6,69","6,62","6,49","6,56","6,48","6,43"
"251.","Oberbergischer Kreis","Nordrhein-Westfalen","K","10,00","10,29","10,36","10,41","10,28","10,23"
"252.","Oberhausen, Stadt","Nordrhein-Westfalen","KS","13,53","13,98","14,70","15,09","15,17","15,19"
"253.","Oberhavel","Brandenburg","LK","10,12","10,15","10,08","10,04","9,67","9,49"
"254.","Oberspreewald-Lausitz","Brandenburg","LK","9,13","9,21","9,28","9,39","9,41","9,41"
"255.","Odenwaldkreis","Hessen","LK","9,55","9,66","9,84","9,92","9,88","9,90"
"256.","Oder-Spree","Brandenburg","LK","9,44","9,53","9,55","9,67","9,46","9,52"
"257.","Offenbach","Hessen","LK","9,06","9,02","9,11","9,16","9,16","9,19"
"258.","Offenbach am Main, Stadt","Hessen","KS","18,61","18,04","18,01","17,79","17,42","17,42"
"259.","Oldenburg","Niedersachsen","LK","8,92","8,95","8,85","8,81","8,59","8,52"
"260.","Oldenburg (Oldenburg), Stadt","Niedersachsen","KS","11,25","10,98","10,94","10,84","10,60","10,40"
"261.","Olpe","Nordrhein-Westfalen","K","8,91","8,96","8,79","8,64","8,51","8,64"
"262.","Ortenaukreis","Baden-Württemberg","LK","7,91","8,02","8,13","8,36","8,39","8,48"
"263.","Osnabrück","Niedersachsen","LK","8,63","8,69","8,65","8,54","8,40","8,52"
"264.","Osnabrück, Stadt","Niedersachsen","KS","11,28","11,39","11,04","11,29","11,06","11,16"
"265.","Ostalbkreis","Baden-Württemberg","LK","6,85","7,00","7,09","7,24","7,23","7,23"
"266.","Ostallgäu","Bayern","LK","6,31","6,24","6,18","6,31","6,34","6,30"
"267.","Osterholz","Niedersachsen","LK","8,78","8,79","8,86","8,84","8,55","8,42"
