Variable;Beschreibung;Description;Quelle;Source
total_suspects_2018;Anzahl Tatverdächtiger insgesamt 2018;Number of Suspects 2018;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
foreign_suspects_2018;Anzahl ausländischer Tatverdächtiger insgesamt 2018;Number of foreign Suspects 2018;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
f_crime_2018;Prozentualer Anteil ausländischer Tatverdächtiger an allen Tatverdächtigen 2018;Percentage share of foreign suspects of all suspects 2018;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
total_suspects_2017;Anzahl Tatverdächtiger insgesamt 2017;Number of Suspects 2017;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
foreign_suspects_2017;Anzahl ausländischer Tatverdächtiger insgesamt 2017;Number of foreign Suspects 2017;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
f_crime_2017;Prozentualer Anteil ausländischer Tatverdächtiger an allen Tatverdächtigen 2017;Percentage share of foreign suspects of all suspects 2017;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
total_suspects_2016;Anzahl Tatverdächtiger insgesamt 2016;Number of Suspects 2016;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
foreign_suspects_2016;Anzahl ausländischer Tatverdächtiger insgesamt 2016;Number of foreign Suspects 2016;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
f_crime_2016;Prozentualer Anteil ausländischer Tatverdächtiger an allen Tatverdächtigen 2016;Percentage share of foreign suspects of all suspects 2016;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
total_suspects_2015;Anzahl Tatverdächtiger insgesamt 2015;Number of Suspects 2015;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
foreign_suspects_2015;Anzahl ausländischer Tatverdächtiger insgesamt 2015;Number of foreign Suspects 2015;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
f_crime_2015;Prozentualer Anteil ausländischer Tatverdächtiger an allen Tatverdächtigen 2015;Percentage share of foreign suspects of all suspects 2015;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
total_suspects_2014;Anzahl Tatverdächtiger insgesamt 2014;Number of Suspects 2014;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
foreign_suspects_2014;Anzahl ausländischer Tatverdächtiger insgesamt 2014;Number of foreign Suspects 2014;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
f_crime_2014;Prozentualer Anteil ausländischer Tatverdächtiger an allen Tatverdächtigen 2014;Percentage share of foreign suspects of all suspects 2014;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
total_suspects_2013;Anzahl Tatverdächtiger insgesamt 2013;Number of Suspects 2013;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
foreign_suspects_2013;Anzahl ausländischer Tatverdächtiger insgesamt 2013;Number of foreign Suspects 2013;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
f_crime_2013;Prozentualer Anteil ausländischer Tatverdächtiger an allen Tatverdächtigen 2013;Percentage share of foreign suspects of all suspects 2013;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
total_suspects_2012;Anzahl Tatverdächtiger insgesamt 2012;Number of Suspects 2012;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
foreign_suspects_2012;Anzahl ausländischer Tatverdächtiger insgesamt 2012;Number of foreign Suspects 2012;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
f_crime_2012;Prozentualer Anteil ausländischer Tatverdächtiger an allen Tatverdächtigen 2012;Percentage share of foreign suspects of all suspects 2012;Bundeskriminalamt, Emailanfrage, September 2019;Federal Criminal Police Office (BKA, Germany)
