region,total_suspects_2018,foreign_suspects_2018,f_crime_2018,total_suspects_2017,foreign_suspects_2017,f_crime_2017,total_suspects_2016,foreign_suspects_2016,f_crime_2016,total_suspects_2015,foreign_suspects_2015,f_crime_2015,total_suspects_2014,foreign_suspects_2014,f_crime_2014,total_suspects_2013,foreign_suspects_2013,f_crime_2013,total_suspects_2012,foreign_suspects_2012,f_crime_2012
1001.0,235,87,37.0,280,97,34.6,246.0,70.0,28.5,243.0,79.0,32.5,233.0,66.0,28.3,207.0,45.0,21.7,277.0,42.0,15.2
1002.0,479,145,30.3,487,164,33.7,443.0,143.0,32.3,484.0,128.0,26.4,463.0,80.0,17.3,439.0,113.0,25.7,490.0,95.0,19.4
1003.0,525,133,25.3,621,163,26.2,640.0,172.0,26.9,518.0,121.0,23.4,512.0,109.0,21.3,509.0,85.0,16.7,526.0,101.0,19.2
1004.0,293,122,41.6,254,86,33.9,240.0,103.0,42.9,256.0,81.0,31.6,241.0,59.0,24.5,241.0,54.0,22.4,247.0,45.0,18.2
1051.0,167,45,26.9,176,31,17.6,196.0,56.0,28.6,172.0,21.0,12.2,167.0,19.0,11.4,151.0,25.0,16.6,227.0,23.0,10.1
1053.0,248,63,25.4,300,105,35.0,304.0,94.0,30.9,295.0,92.0,31.2,304.0,82.0,27.0,273.0,52.0,19.0,290.0,53.0,18.3
1054.0,215,39,18.1,199,32,16.1,179.0,31.0,17.3,165.0,29.0,17.6,183.0,31.0,16.9,169.0,20.0,11.8,214.0,29.0,13.6
1055.0,256,61,23.8,286,65,22.7,297.0,76.0,25.6,286.0,77.0,26.9,295.0,49.0,16.6,249.0,53.0,21.3,276.0,43.0,15.6
1056.0,375,137,36.5,407,158,38.8,431.0,167.0,38.7,450.0,160.0,35.6,497.0,180.0,36.2,417.0,132.0,31.7,452.0,120.0,26.5
1057.0,126,25,19.8,101,28,27.7,121.0,25.0,20.7,105.0,27.0,25.7,122.0,18.0,14.8,119.0,15.0,12.6,108.0,13.0,12.0
1058.0,333,74,22.2,356,101,28.4,393.0,104.0,26.5,302.0,71.0,23.5,338.0,49.0,14.5,310.0,43.0,13.9,338.0,40.0,11.8
1059.0,191,36,18.8,214,56,26.2,200.0,40.0,20.0,177.0,44.0,24.9,179.0,23.0,12.8,197.0,16.0,8.1,255.0,39.0,15.3
1060.0,385,137,35.6,297,78,26.3,401.0,134.0,33.4,381.0,113.0,29.7,357.0,93.0,26.1,338.0,88.0,26.0,367.0,74.0,20.2
1061.0,194,56,28.9,192,58,30.2,183.0,54.0,29.5,169.0,44.0,26.0,171.0,23.0,13.5,145.0,16.0,11.0,202.0,27.0,13.4
1062.0,279,79,28.3,343,99,28.9,325.0,124.0,38.2,314.0,104.0,33.1,303.0,88.0,29.0,309.0,59.0,19.1,317.0,77.0,24.3
2000.0,3908,1944,49.7,4088,2026,49.6,4720.0,2495.0,52.9,4866.0,2482.0,51.0,4525.0,2134.0,47.2,4387.0,1975.0,45.0,4364.0,1787.0,40.9
3101.0,516,192,37.2,680,233,34.3,681.0,295.0,43.3,751.0,286.0,38.1,652.0,209.0,32.1,630.0,172.0,27.3,624.0,172.0,27.6
3102.0,182,64,35.2,191,62,32.5,170.0,64.0,37.6,133.0,30.0,22.6,172.0,49.0,28.5,180.0,36.0,20.0,214.0,42.0,19.6
3103.0,202,78,38.6,229,92,40.2,258.0,109.0,42.2,228.0,89.0,39.0,218.0,60.0,27.5,214.0,44.0,20.6,217.0,49.0,22.6
3151.0,250,76,30.4,226,37,16.4,265.0,79.0,29.8,247.0,74.0,30.0,288.0,81.0,28.1,301.0,62.0,20.6,332.0,57.0,17.2
3153.0,250,66,26.4,305,58,19.0,269.0,59.0,21.9,290.0,61.0,21.0,338.0,83.0,24.6,286.0,52.0,18.2,306.0,49.0,16.0
