,region,subregion,eligible_voters_19,eligible_voters_14,voters_19,voters_14,invalid_19,invalid_14,valid_19,valid_14,afd_19,afd_14,nr,state,state_abbrev,2013,2014,2015,2016,2017,2018,_merge
28,Hameln-Pyrmont,3.0,116288.0,118875.0,67945.0,58476.0,413.0,633.0,67532.0,57843.0,6648.0,3518.0,133.,Niedersachsen,LK,"12,23","12,4","12,48",12.73,12.78,12.93,both
29,Hildesheim,3.0,217020.0,219042.0,135482.0,106129.0,663.0,841.0,134819.0,105288.0,11272.0,5842.0,151.,Niedersachsen,LK,"10,98","11,07","11,03",10.97,10.8,10.65,both
30,Holzminden,3.0,55950.0,58035.0,33503.0,27290.0,372.0,349.0,33131.0,26941.0,2759.0,1277.0,157.,Niedersachsen,LK,"11,91","11,93","12,04",12.17,12.18,12.48,both
31,Nienburg (Weser),3.0,94437.0,95424.0,53561.0,41146.0,352.0,288.0,53209.0,40858.0,4601.0,1908.0,242.,Niedersachsen,LK,"10,26","10,6","10,47",10.89,10.9,10.98,both
32,Schaumburg,3.0,124384.0,125366.0,72992.0,63465.0,399.0,594.0,72593.0,62871.0,6544.0,3665.0,320.,Niedersachsen,LK,"11,54","11,58","11,7",11.76,11.79,11.71,both
33,Celle,3.0,139021.0,139565.0,83672.0,64929.0,435.0,485.0,83237.0,64444.0,9096.0,5119.0,53.,Niedersachsen,LK,"11,9","12,05","12,06",12.16,11.96,11.89,both
34,Cuxhaven,3.0,158334.0,158271.0,97886.0,72992.0,832.0,522.0,97054.0,72470.0,7845.0,3501.0,62.,Niedersachsen,LK,"10,88","10,92","10,89",10.43,10.77,10.73,both
35,Harburg,3.0,199955.0,195893.0,132929.0,102313.0,828.0,1070.0,132101.0,101243.0,11358.0,9038.0,135.,Niedersachsen,LK,"8,12","8,07","7,92",8.01,7.93,7.94,both
36,Lüchow-Dannenberg,3.0,39160.0,39602.0,23088.0,20974.0,147.0,280.0,22941.0,20694.0,1710.0,1028.0,199.,Niedersachsen,LK,"11,55","11,51","10,94",11.46,11.54,11.98,both
37,Lüneburg,3.0,142507.0,139750.0,95397.0,74254.0,666.0,740.0,94731.0,73514.0,7151.0,4411.0,203.,Niedersachsen,LK,"9,97","9,96","9,71",9.7,9.47,9.46,both
38,Osterholz,3.0,90731.0,89145.0,56826.0,44314.0,310.0,354.0,56516.0,43960.0,4550.0,2538.0,267.,Niedersachsen,LK,"8,78","8,79","8,86",8.84,8.55,8.42,both
39,Rotenburg (Wümme),3.0,129318.0,128196.0,80401.0,71135.0,456.0,669.0,79945.0,70466.0,5814.0,2990.0,307.,Niedersachsen,LK,"9,44","9,39","9,28",9.33,9.29,9.19,both
40,Heidekreis,3.0,108608.0,109018.0,64342.0,55676.0,406.0,664.0,63936.0,55012.0,5766.0,3020.0,139.,Niedersachsen,LK,"10,84","10,97","10,8",11.0,10.92,10.98,both
41,Stade,3.0,157508.0,155555.0,98083.0,74562.0,593.0,620.0,97490.0,73942.0,8245.0,4572.0,341.,Niedersachsen,LK,"9,1","9,16","9,07",9.28,9.28,9.3,both
42,Uelzen,3.0,74964.0,75619.0,46290.0,37733.0,375.0,332.0,45915.0,37401.0,4038.0,2226.0,361.,Niedersachsen,LK,"11,6","11,87","11,8",11.9,11.77,11.88,both
43,Verden,3.0,105973.0,104680.0,68058.0,55868.0,498.0,435.0,67560.0,55433.0,5242.0,2915.0,367.,Niedersachsen,LK,"8,99","8,99","8,89",8.99,8.94,8.8,both
44,Delmenhorst,3.0,56279.0,57777.0,29611.0,25765.0,259.0,368.0,29352.0,25397.0,3480.0,1645.0,68.,Niedersachsen,KS,"15,53","15,59","15,46",15.32,15.34,15.57,both
45,Emden,3.0,37967.0,38973.0,22907.0,14006.0,333.0,123.0,22574.0,13883.0,2134.0,661.0,87.,Niedersachsen,KS,"13,57","13,91","13,81",13.86,13.8,14.03,both
46,Oldenburg (Oldenburg),3.0,129795.0,126358.0,84221.0,59915.0,388.0,338.0,83833.0,59577.0,4379.0,3320.0,260.,Niedersachsen,KS,"11,25","10,98","10,94",10.84,10.6,10.4,both
47,Osnabrück,3.0,123608.0,120658.0,79178.0,61488.0,393.0,501.0,78785.0,60987.0,3780.0,2530.0,263.,Niedersachsen,LK,"8,63","8,69","8,65",8.54,8.4,8.52,both
48,Osnabrück,3.0,123608.0,120658.0,79178.0,61488.0,393.0,501.0,78785.0,60987.0,3780.0,2530.0,264.,Niedersachsen,KS,"11,28","11,39","11,04",11.29,11.06,11.16,both
49,Osnabrück,3.0,272973.0,271647.0,171071.0,143832.0,1109.0,1134.0,169962.0,142698.0,9553.0,5135.0,263.,Niedersachsen,LK,"8,63","8,69","8,65",8.54,8.4,8.52,both
50,Osnabrück,3.0,272973.0,271647.0,171071.0,143832.0,1109.0,1134.0,169962.0,142698.0,9553.0,5135.0,264.,Niedersachsen,KS,"11,28","11,39","11,04",11.29,11.06,11.16,both
51,Wilhelmshaven,3.0,61706.0,64170.0,32937.0,24125.0,315.0,219.0,32622.0,23906.0,3021.0,1662.0,389.,Niedersachsen,KS,"16,22","16,74","16,8",16.9,17.03,17.07,both
52,Ammerland,3.0,97566.0,95337.0,63255.0,46951.0,463.0,569.0,62792.0,46382.0,4419.0,2960.0,12.,Niedersachsen,LK,"8,84","8,83","8,6",8.58,8.39,8.29,both
53,Aurich,3.0,153372.0,152222.0,92401.0,77325.0,1377.0,1502.0,91024.0,75823.0,8282.0,3358.0,20.,Niedersachsen,LK,"10,6","10,62","10,47",10.64,10.67,10.74,both
54,Cloppenburg,3.0,120227.0,117936.0,66148.0,59731.0,407.0,643.0,65741.0,59088.0,4903.0,2187.0,56.,Niedersachsen,LK,"9,11","9,16","9,13",9.34,9.33,9.57,both
55,Emsland,3.0,239069.0,236116.0,150178.0,121346.0,991.0,843.0,149187.0,120503.0,8120.0,3703.0,89.,Niedersachsen,LK,"8,35","8,49","8,51",8.85,8.86,8.95,both
56,Friesland,3.0,81384.0,80352.0,50517.0,39529.0,527.0,579.0,49990.0,38950.0,3873.0,2331.0,109.,Niedersachsen,LK,"10,04","10,03","9,96",10.03,10.14,9.93,both
57,Grafschaft Bentheim,3.0,97968.0,97142.0,65766.0,49591.0,427.0,294.0,65339.0,49297.0,3088.0,1361.0,125.,Niedersachsen,LK,"8,42","8,57","8,69",8.7,8.72,8.65,both
58,Leer,3.0,131488.0,129177.0,73354.0,63222.0,640.0,1117.0,72714.0,62105.0,6572.0,3287.0,189.,Niedersachsen,LK,"10,67","10,68","10,52",10.66,10.62,10.75,both
59,Oldenburg,3.0,101026.0,99395.0,63567.0,54677.0,287.0,534.0,63280.0,54143.0,4914.0,3321.0,259.,Niedersachsen,LK,"8,92","8,95","8,85",8.81,8.59,8.52,both
60,Vechta,3.0,101152.0,99942.0,65089.0,51475.0,367.0,415.0,64722.0,51060.0,3927.0,1793.0,366.,Niedersachsen,LK,"7,94","7,98","8,12",8.15,8.14,8.34,both
61,Wesermarsch,3.0,69579.0,70534.0,37953.0,29868.0,294.0,305.0,37659.0,29563.0,2973.0,1614.0,385.,Niedersachsen,LK,"11,1","11,27","11,17",11.27,11.25,11.14,both
62,Wittmund,3.0,46072.0,45632.0,24414.0,21812.0,232.0,315.0,24182.0,21497.0,2118.0,1067.0,391.,Niedersachsen,LK,"10,51","10,6","10,49",10.75,10.55,10.57,both
63,Bremen,4.0,390038.0,400711.0,254481.0,166340.0,3115.0,1159.0,251366.0,165181.0,17977.0,9512.0,49.,Bremen,KS,"12,67","12,69","12,76",12.67,12.6,12.51,both
64,Bremerhaven,4.0,80172.0,83017.0,41806.0,28689.0,812.0,307.0,40994.0,28382.0,4473.0,1693.0,50.,Bremen,KS,"19,84","20,41","20,82",20.8,20.79,21.22,both
65,Düsseldorf,5.0,414530.0,415747.0,263153.0,223845.0,1417.0,2483.0,261736.0,221362.0,18079.0,12533.0,80.,Nordrhein-Westfalen,KS,"12,47","12,4","12,35",12.31,12.12,12.09,both
66,Duisburg,5.0,325373.0,336313.0,162888.0,143261.0,1549.0,1944.0,161339.0,141317.0,19359.0,10157.0,78.,Nordrhein-Westfalen,KS,"15,36","15,86","16,2",16.64,17.08,17.2,both
67,Essen,5.0,416106.0,428584.0,246269.0,203073.0,1877.0,2118.0,244392.0,200955.0,26304.0,12010.0,97.,Nordrhein-Westfalen,KS,"12,8","13,15","12,95",13.59,13.76,13.96,both
68,Krefeld,5.0,162065.0,165558.0,93883.0,79988.0,776.0,1143.0,93107.0,78845.0,7248.0,4623.0,178.,Nordrhein-Westfalen,KS,"14,48","14,8","14,96",15.03,15.09,15.05,both
69,Mönchengladbach,5.0,188522.0,192506.0,103352.0,86904.0,982.0,1377.0,102370.0,85527.0,8868.0,4374.0,226.,Nordrhein-Westfalen,KS,"15,81","15,83","15,85",16.01,16.12,16.36,both
70,Mülheim an der Ruhr,5.0,123207.0,125981.0,77168.0,65994.0,572.0,916.0,76596.0,65078.0,7396.0,4724.0,228.,Nordrhein-Westfalen,KS,"10,61","10,91","11,16",11.41,11.62,11.61,both
71,Oberhausen,5.0,150624.0,155439.0,82902.0,70811.0,851.0,1230.0,82051.0,69581.0,10010.0,4090.0,252.,Nordrhein-Westfalen,KS,"13,53","13,98","14,7",15.09,15.17,15.19,both
72,Remscheid,5.0,77129.0,79005.0,43470.0,36218.0,455.0,583.0,43015.0,35635.0,4254.0,2108.0,290.,Nordrhein-Westfalen,KS,"13,51","13,58","13,52",13.98,13.89,14.1,both
73,Solingen,5.0,112713.0,113987.0,64681.0,53495.0,496.0,718.0,64185.0,52777.0,5869.0,3109.0,335.,Nordrhein-Westfalen,KS,"13,53","14,18","14,27",14.48,14.57,14.85,both
74,Wuppertal,5.0,238998.0,245963.0,140535.0,118361.0,1050.0,1352.0,139485.0,117009.0,13628.0,7052.0,396.,Nordrhein-Westfalen,KS,"17,89","17,77","17,97",18.08,18.38,18.42,both
75,Kleve,5.0,227070.0,227084.0,136898.0,119292.0,1125.0,1825.0,135773.0,117467.0,8693.0,5358.0,174.,Nordrhein-Westfalen,K,"10,21","10,46","10,38",10.58,10.45,10.57,both
76,Mettmann,5.0,367255.0,370957.0,234389.0,201473.0,1810.0,2714.0,232579.0,198759.0,20603.0,13114.0,221.,Nordrhein-Westfalen,K,"9,89","10,04","10,28",10.3,10.3,10.32,both
77,Rhein-Kreis Neuss,5.0,334970.0,334173.0,211310.0,175598.0,1588.0,1986.0,209722.0,173612.0,16801.0,9916.0,298.,Nordrhein-Westfalen,K,"10,52","10,79","10,68",10.73,10.52,10.62,both
78,Viersen,5.0,228023.0,228136.0,141515.0,120707.0,1125.0,1612.0,140390.0,119095.0,9873.0,6179.0,368.,Nordrhein-Westfalen,K,"10,41","10,3","10,19",10.34,10.27,10.23,both
79,Wesel,5.0,356669.0,360478.0,218516.0,190119.0,1807.0,3004.0,216709.0,187115.0,19658.0,9844.0,384.,Nordrhein-Westfalen,K,"9,5","9,61","9,7",9.96,9.98,10.07,both
80,Bonn,5.0,228055.0,227483.0,158398.0,136146.0,748.0,1592.0,157650.0,134554.0,9418.0,7848.0,42.,Nordrhein-Westfalen,KS,"9,38","9,24","9,22",9.11,9.0,8.87,both
81,Köln,5.0,740448.0,729081.0,478587.0,387748.0,2527.0,3759.0,476060.0,383989.0,29372.0,21176.0,176.,Nordrhein-Westfalen,KS,"11,8","11,75","11,85",11.84,11.78,11.67,both
82,Leverkusen,5.0,116207.0,117710.0,69726.0,57450.0,580.0,736.0,69146.0,56714.0,6510.0,3768.0,192.,Nordrhein-Westfalen,KS,"11,15","11,3","11,67",11.76,11.77,11.89,both
83,Düren,5.0,199697.0,200004.0,120531.0,107570.0,1259.0,1814.0,119272.0,105756.0,11541.0,5533.0,79.,Nordrhein-Westfalen,K,"11,53","11,75","11,75",11.91,11.91,11.98,both
84,Rhein-Erft-Kreis,5.0,346326.0,345437.0,220996.0,180617.0,1807.0,2557.0,219189.0,178060.0,20340.0,9048.0,294.,Nordrhein-Westfalen,K,"10,84","10,96","11,23",11.31,11.37,11.4,both
85,Euskirchen,5.0,151478.0,148868.0,92833.0,78817.0,889.0,1278.0,91944.0,77539.0,8877.0,4409.0,99.,Nordrhein-Westfalen,K,"10,86","10,9","10,87",11.03,11.04,11.03,both
86,Heinsberg,5.0,191077.0,189213.0,112550.0,102648.0,1176.0,2100.0,111374.0,100548.0,9358.0,4404.0,144.,Nordrhein-Westfalen,K,"11,29","11,49","11,42",11.59,11.6,11.66,both
87,Oberbergischer Kreis,5.0,207897.0,209600.0,126841.0,113900.0,1184.0,1703.0,125657.0,112197.0,11601.0,6387.0,251.,Nordrhein-Westfalen,K,10,"10,29","10,36",10.41,10.28,10.23,both
88,Rheinisch-Bergischer Kreis,5.0,218103.0,217229.0,148330.0,125455.0,866.0,1233.0,147464.0,124222.0,10646.0,7633.0,297.,Nordrhein-Westfalen,K,"8,77","8,87","8,94",9.04,9.04,9.03,both
89,Rhein-Sieg-Kreis,5.0,455483.0,449917.0,300253.0,262151.0,2237.0,3395.0,298016.0,258756.0,24211.0,15145.0,302.,Nordrhein-Westfalen,K,"8,96","8,96","8,97",9.0,8.85,8.84,both
90,Bottrop,5.0,87999.0,89473.0,52298.0,44529.0,495.0,590.0,51803.0,43939.0,6387.0,2472.0,45.,Nordrhein-Westfalen,KS,"11,09","11,48","11,79",11.72,11.77,11.73,both
91,Gelsenkirchen,5.0,172667.0,180811.0,88496.0,81747.0,853.0,1420.0,87643.0,80327.0,14398.0,6131.0,115.,Nordrhein-Westfalen,KS,"16,23","16,78","16,72",17.67,17.76,17.88,both
92,Münster,5.0,234502.0,230294.0,172718.0,142460.0,653.0,1174.0,172065.0,141286.0,6883.0,5819.0,231.,Nordrhein-Westfalen,KS,"8,53","8,32","8,39",8.52,8.42,8.54,both
93,Borken,5.0,278982.0,276875.0,181446.0,155070.0,997.0,1902.0,180449.0,153168.0,9778.0,5204.0,44.,Nordrhein-Westfalen,K,"8,79","8,83","8,69",8.66,8.59,8.63,both
94,Coesfeld,5.0,173128.0,171164.0,120049.0,102969.0,643.0,1050.0,119406.0,101919.0,6513.0,3782.0,60.,Nordrhein-Westfalen,K,"7,4","7,4","7,39",7.37,7.2,7.19,both
95,Recklinghausen,5.0,469806.0,479057.0,274015.0,236191.0,2259.0,3756.0,271756.0,232435.0,31144.0,12918.0,284.,Nordrhein-Westfalen,K,"12,18","12,55","12,8",12.84,12.99,13.15,both
96,Steinfurt,5.0,340622.0,338268.0,221206.0,194990.0,1366.0,2730.0,219840.0,192260.0,12331.0,6251.0,344.,Nordrhein-Westfalen,K,"8,85","8,93","8,93",8.93,8.81,8.81,both
97,Warendorf,5.0,209212.0,210359.0,135952.0,120687.0,923.0,1678.0,135029.0,119009.0,9035.0,4738.0,376.,Nordrhein-Westfalen,K,"8,74","8,9","8,97",9.03,8.95,8.95,both
98,Bielefeld,5.0,237243.0,238932.0,151344.0,127375.0,1114.0,1609.0,150230.0,125766.0,11498.0,6272.0,37.,Nordrhein-Westfalen,KS,"11,5","11,42","10,94",11.45,11.35,11.35,both
99,Gütersloh,5.0,263291.0,262976.0,164120.0,141757.0,1124.0,2150.0,162996.0,139607.0,12505.0,6716.0,129.,Nordrhein-Westfalen,K,"8,89","8,86","8,88",8.83,8.7,8.69,both
100,Herford,5.0,191048.0,193351.0,113252.0,102072.0,865.0,1621.0,112387.0,100451.0,11158.0,5766.0,146.,Nordrhein-Westfalen,K,"10,62","10,79","10,8",10.82,10.78,10.9,both
101,Höxter,5.0,111469.0,113628.0,69376.0,65911.0,603.0,1239.0,68773.0,64672.0,5650.0,2924.0,158.,Nordrhein-Westfalen,K,"8,03","8,15","8,18",8.36,8.42,8.57,both
102,Lippe,5.0,267750.0,271166.0,164091.0,146244.0,1464.0,2445.0,162627.0,143799.0,15680.0,7894.0,196.,Nordrhein-Westfalen,K,"9,56","9,74","9,85",9.89,9.74,10.01,both
103,Minden-Lübbecke,5.0,240181.0,243588.0,141876.0,123748.0,1074.0,1974.0,140802.0,121774.0,12816.0,6437.0,224.,Nordrhein-Westfalen,K,10,"10,08","10,18",10.26,10.2,10.34,both
104,Paderborn,5.0,230946.0,227655.0,139286.0,119851.0,994.0,1606.0,138292.0,118245.0,11131.0,5932.0,270.,Nordrhein-Westfalen,K,"9,13","9,16","9,07",9.05,9.07,9.19,both
105,Bochum,5.0,271416.0,279538.0,165855.0,140112.0,1364.0,1803.0,164491.0,138309.0,15598.0,7878.0,40.,Nordrhein-Westfalen,KS,"11,97","12,23","12,33",12.56,12.46,12.6,both
106,Dortmund,5.0,412595.0,420999.0,241207.0,199861.0,1679.0,3146.0,239528.0,196715.0,22013.0,11693.0,76.,Nordrhein-Westfalen,KS,"14,01","14,26","14,3",14.46,14.44,14.44,both
107,Hagen,5.0,130560.0,135884.0,72691.0,65301.0,641.0,1037.0,72050.0,64264.0,9077.0,4058.0,130.,Nordrhein-Westfalen,KS,"14,92","15,03","15,58",16.06,15.86,16.34,both
108,Hamm,5.0,125696.0,127995.0,72575.0,68038.0,601.0,1365.0,71974.0,66673.0,7847.0,2980.0,134.,Nordrhein-Westfalen,KS,"14,15","14,57","14,3",15.13,14.9,14.89,both
109,Herne,5.0,110657.0,114782.0,59376.0,50556.0,647.0,792.0,58729.0,49764.0,7776.0,3224.0,147.,Nordrhein-Westfalen,KS,"16,04","16,6","17,07",17.61,17.85,18.06,both
110,Ennepe-Ruhr-Kreis,5.0,251943.0,256497.0,156316.0,134030.0,1202.0,1781.0,155114.0,132249.0,14231.0,7832.0,90.,Nordrhein-Westfalen,K,"10,66","10,81","10,89",10.94,10.95,11.04,both
111,Hochsauerlandkreis,5.0,201504.0,205528.0,125070.0,113822.0,808.0,1772.0,124262.0,112050.0,9206.0,5111.0,152.,Nordrhein-Westfalen,K,"10,37","10,4","10,24",10.24,10.1,10.13,both
112,Märkischer Kreis,5.0,302136.0,311957.0,170134.0,146283.0,1480.0,2116.0,168654.0,144167.0,16988.0,9394.0,214.,Nordrhein-Westfalen,K,"12,4","12,63","12,81",12.86,12.78,12.82,both
113,Olpe,5.0,102295.0,103744.0,64922.0,56226.0,454.0,683.0,64468.0,55543.0,4728.0,3278.0,261.,Nordrhein-Westfalen,K,"8,91","8,96","8,79",8.64,8.51,8.64,both
114,Siegen-Wittgenstein,5.0,211301.0,215420.0,130012.0,115233.0,983.0,1717.0,129029.0,113516.0,13427.0,7179.0,332.,Nordrhein-Westfalen,K,"9,1","9,25","9,27",9.36,9.28,9.44,both
115,Soest,5.0,232462.0,232293.0,140546.0,123332.0,875.0,1794.0,139671.0,121538.0,11331.0,6002.0,334.,Nordrhein-Westfalen,K,"10,3","10,49","10,57",10.61,10.31,10.25,both
116,Unna,5.0,304843.0,309601.0,181778.0,158808.0,1557.0,2336.0,180221.0,156472.0,17690.0,8491.0,363.,Nordrhein-Westfalen,K,"11,26","11,43","11,51",11.68,11.68,11.8,both
117,Darmstadt,6.0,107437.0,105493.0,71045.0,51129.0,410.0,439.0,70635.0,50690.0,4569.0,3451.0,65.,Hessen,KS,"9,23","8,93","8,97",8.98,8.88,8.7,both
118,Frankfurt am Main,6.0,429856.0,418278.0,258304.0,186201.0,1371.0,1446.0,256933.0,184755.0,17316.0,14716.0,104.,Hessen,KS,"11,04","10,9","10,9",10.75,10.58,10.74,both
119,Offenbach am Main,6.0,67788.0,66880.0,34927.0,24839.0,320.0,319.0,34607.0,24520.0,3500.0,2344.0,258.,Hessen,KS,"18,61","18,04","18,01",17.79,17.42,17.42,both
120,Wiesbaden,6.0,188034.0,189820.0,111027.0,78728.0,975.0,643.0,110052.0,78085.0,9667.0,7161.0,388.,Hessen,KS,"16,18","16,27","16,01",16.77,16.66,17.02,both
121,Bergstraße,6.0,198695.0,200057.0,120229.0,90704.0,1364.0,1519.0,118865.0,89185.0,13356.0,7904.0,33.,Hessen,LK,"8,84","8,89","8,9",8.95,8.83,8.86,both
122,Darmstadt-Dieburg,6.0,215429.0,213600.0,136397.0,97400.0,1647.0,1456.0,134750.0,95944.0,12508.0,7940.0,66.,Hessen,LK,"8,31","8,39","8,45",8.64,8.58,8.55,both
123,Groß-Gerau,6.0,176014.0,175171.0,100854.0,73713.0,1180.0,1148.0,99674.0,72565.0,10435.0,6600.0,127.,Hessen,LK,"9,29","9,37","9,5",9.57,9.51,9.61,both
124,Hochtaunuskreis,6.0,164348.0,165167.0,107046.0,83370.0,636.0,799.0,106410.0,82571.0,9165.0,8896.0,153.,Hessen,LK,"7,07","7,11","7,17",7.19,7.09,7.03,both
125,Main-Kinzig-Kreis,6.0,299123.0,300763.0,168204.0,120109.0,1925.0,1847.0,166279.0,118262.0,20729.0,12553.0,205.,Hessen,LK,"9,85","10,02","10,02",10.18,10.16,10.04,both
126,Main-Taunus-Kreis,6.0,165816.0,166024.0,106307.0,82454.0,826.0,920.0,105481.0,81534.0,9479.0,9551.0,208.,Hessen,LK,"6,88","6,91","7,08",7.1,7.23,7.21,both
127,Odenwaldkreis,6.0,70869.0,72044.0,39925.0,31232.0,598.0,618.0,39327.0,30614.0,4560.0,2852.0,255.,Hessen,LK,"9,55","9,66","9,84",9.92,9.88,9.9,both
128,Offenbach,6.0,238715.0,239582.0,142756.0,103416.0,1431.0,1338.0,141325.0,102078.0,14225.0,9763.0,257.,Hessen,LK,"9,06","9,02","9,11",9.16,9.16,9.19,both
129,Rheingau-Taunus-Kreis,6.0,138642.0,138630.0,89677.0,64250.0,930.0,745.0,88747.0,63505.0,8663.0,6097.0,295.,Hessen,LK,"7,77","7,89","7,99",8.13,8.1,8.14,both
130,Wetteraukreis,6.0,225720.0,224655.0,131970.0,90437.0,1423.0,1032.0,130547.0,89405.0,13745.0,8898.0,387.,Hessen,LK,"9,75","9,92","9,87",9.88,9.77,10.07,both
