,region,subregion,eligible_voters_19,eligible_voters_14,voters_19,voters_14,invalid_19,invalid_14,valid_19,valid_14,afd_19,afd_14,nr,state,state_abbrev,2013,2014,2015,2016,2017,2018,_merge
0,Flensburg,1.0,70431.0,70929.0,39647.0,25350.0,237.0,176.0,39410.0,25174.0,2477.0,1583.0,100.,Schleswig-Holstein,KS,"16,41","16,4","16,21",16.17,16.21,16.24,both
1,Kiel,1.0,186195.0,188135.0,109595.0,75741.0,577.0,405.0,109018.0,75336.0,6459.0,4418.0,172.,Schleswig-Holstein,KS,"12,04","12,03","12,17",12.23,12.16,11.96,both
2,Lübeck,1.0,166530.0,167198.0,90946.0,62933.0,461.0,424.0,90485.0,62509.0,6773.0,4334.0,198.,Schleswig-Holstein,KS,"15,25","15,59","15,26",15.29,15.04,14.76,both
3,Neumünster,1.0,60215.0,60970.0,29036.0,27659.0,231.0,409.0,28805.0,27250.0,2761.0,1960.0,235.,Schleswig-Holstein,KS,"16,61","16,94","17,09",17.54,17.8,18.09,both
4,Dithmarschen,1.0,107045.0,107804.0,58244.0,42819.0,475.0,469.0,57769.0,42350.0,5121.0,2325.0,73.,Schleswig-Holstein,K,"12,52","12,8","12,43",12.78,12.78,12.84,both
5,Herzogtum Lauenburg,1.0,152666.0,150105.0,91899.0,69625.0,609.0,588.0,91290.0,69037.0,8355.0,5182.0,149.,Schleswig-Holstein,K,"10,16","10,29","9,73",10.17,10.17,10.23,both
6,Nordfriesland,1.0,131877.0,130887.0,77635.0,53913.0,446.0,419.0,77189.0,53494.0,4373.0,3038.0,243.,Schleswig-Holstein,K,"10,09","10,32","9,71",9.99,9.82,9.93,both
7,Ostholstein,1.0,165528.0,165120.0,96712.0,70141.0,723.0,618.0,95989.0,69523.0,7752.0,5439.0,268.,Schleswig-Holstein,K,"10,63","10,8","10,41",10.78,10.62,10.47,both
8,Pinneberg,1.0,239300.0,236519.0,150689.0,108214.0,1005.0,784.0,149684.0,107430.0,11681.0,7628.0,276.,Schleswig-Holstein,K,"9,67","9,64","9,53",9.57,9.6,9.62,both
9,Plön,1.0,105085.0,104325.0,66925.0,48942.0,424.0,374.0,66501.0,48568.0,4846.0,3390.0,278.,Schleswig-Holstein,K,"8,67","8,88","8,64",9.06,8.95,8.94,both
10,Rendsburg-Eckernförde,1.0,218614.0,216954.0,136614.0,99710.0,793.0,765.0,135821.0,98945.0,9206.0,6678.0,292.,Schleswig-Holstein,K,"9,16","9,17","8,99",9.26,9.41,9.38,both
11,Schleswig-Flensburg,1.0,159674.0,156854.0,95525.0,66056.0,618.0,519.0,94907.0,65537.0,5705.0,4273.0,321.,Schleswig-Holstein,K,"10,45","10,67","10,33",10.55,10.64,10.61,both
12,Segeberg,1.0,212630.0,209166.0,126584.0,88572.0,766.0,606.0,125818.0,87966.0,10296.0,6364.0,331.,Schleswig-Holstein,K,"10,11","10,08","9,68",9.97,9.86,9.82,both
13,Steinburg,1.0,104839.0,105504.0,60505.0,44391.0,387.0,382.0,60118.0,44009.0,4675.0,2563.0,343.,Schleswig-Holstein,K,"11,43","11,66","11,85",12.12,12.18,12.15,both
14,Stormarn,1.0,188732.0,186619.0,123481.0,94016.0,617.0,759.0,122864.0,93257.0,9778.0,6934.0,346.,Schleswig-Holstein,K,"7,99","7,93","7,65",7.69,7.63,7.55,both
15,Hamburg,2.0,1302548.0,1283323.0,805905.0,558277.0,9473.0,5406.0,796432.0,552871.0,51649.0,33239.0,132.,Hamburg,KS,"10,92","10,81","10,57",10.61,10.61,10.62,both
16,Braunschweig,3.0,190413.0,194345.0,122195.0,99682.0,573.0,1050.0,121622.0,98632.0,8329.0,5550.0,47.,Niedersachsen,KS,"10,62","10,47","10,22",9.87,9.61,9.67,both
17,Salzgitter,3.0,72737.0,75270.0,37215.0,34611.0,393.0,483.0,36822.0,34128.0,5519.0,1976.0,318.,Niedersachsen,KS,"12,16","12,51","12,85",12.95,13.24,13.49,both
18,Wolfsburg,3.0,89191.0,92913.0,50390.0,38340.0,324.0,254.0,50066.0,38086.0,5105.0,2512.0,393.,Niedersachsen,KS,"8,17","7,99","8,03",7.79,7.69,7.74,both
19,Gifhorn,3.0,136223.0,134817.0,82780.0,64411.0,507.0,597.0,82273.0,63814.0,8047.0,3108.0,119.,Niedersachsen,LK,"9,02","8,98","8,81",9.0,8.85,8.74,both
20,Goslar,3.0,107632.0,112117.0,62885.0,43027.0,495.0,290.0,62390.0,42737.0,6409.0,2905.0,122.,Niedersachsen,LK,"12,74","12,88","12,82",12.6,12.47,12.51,both
21,Helmstedt,3.0,73182.0,74543.0,42754.0,31577.0,326.0,284.0,42428.0,31293.0,3895.0,1688.0,145.,Niedersachsen,LK,"10,97","11,19","11,17",11.05,11.04,11.21,both
22,Northeim,3.0,107594.0,110332.0,60355.0,53172.0,361.0,561.0,59994.0,52611.0,4877.0,2894.0,247.,Niedersachsen,LK,"10,8","10,98","10,89",10.89,10.66,10.68,both
23,Peine,3.0,103605.0,102763.0,64184.0,48159.0,418.0,400.0,63766.0,47759.0,5936.0,2520.0,273.,Niedersachsen,LK,"9,78",10,"10,14",10.3,10.33,10.41,both
24,Wolfenbüttel,3.0,96324.0,97307.0,62070.0,51152.0,402.0,456.0,61668.0,50696.0,5512.0,3174.0,392.,Niedersachsen,LK,"9,13","9,22","9,19",9.25,9.1,9.09,both
25,Göttingen,3.0,253354.0,257883.0,152703.0,129655.0,745.0,1196.0,151958.0,128459.0,10309.0,6451.0,124.,Niedersachsen,LK,"9,82","9,73","9,72",9.74,9.58,9.57,both
26,Region Hannover,3.0,844533.0,850194.0,540175.0,413626.0,2752.0,3664.0,537423.0,409962.0,43422.0,23741.0,288.,Niedersachsen,LK,"12,01","11,93","11,83",11.73,11.5,11.45,both
27,Diepholz,3.0,169375.0,168403.0,105348.0,83526.0,681.0,707.0,104667.0,82819.0,7850.0,4320.0,70.,Niedersachsen,LK,"9,23","9,28","9,28",9.48,9.41,9.39,both
