"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","Typ","Überschuldungsquoten in %","","","","",""
"","","","","2014","2015","2016","2017","2018","2019"
"229.","München","Bayern","LK","5,94","6,09","6,33","6,47","6,40","6,27"
"230.","München, Landeshauptstadt","Bayern","KS","8,01","8,33","8,63","8,92","8,82","8,96"
"231.","Münster, Stadt","Nordrhein-Westfalen","KS","8,32","8,39","8,52","8,42","8,54","8,62"
"232.","Neckar-Odenwald-Kreis","Baden-Württemberg","LK","7,54","7,64","7,83","7,96","7,95","7,88"
"233.","Neuburg-Schrobenhausen","Bayern","LK","5,04","5,08","5,22","5,41","5,42","5,48"
"234.","Neumarkt i.d.OPf.","Bayern","LK","5,20","5,23","5,39","5,42","5,36","5,24"
"235.","Neumünster, Stadt","Schleswig-Holstein","KS","16,94","17,09","17,54","17,80","18,09","18,65"
"236.","Neunkirchen","Saarland","LK","12,07","12,17","12,09","11,96","12,12","12,38"
"237.","Neustadt a.d.Aisch-Bad Windsheim","Bayern","LK","6,25","6,28","6,60","6,84","6,78","6,66"
"238.","Neustadt a.d.Waldnaab","Bayern","LK","5,79","5,98","6,37","6,58","6,69","6,57"
"239.","Neustadt a.d. Weinstraße, Stadt","Rheinland-Pfalz","KS","10,47","10,65","10,67","10,37","10,38","10,31"
"240.","Neu-Ulm","Bayern","LK","6,99","7,16","7,37","7,36","7,41","7,23"
"241.","Neuwied","Rheinland-Pfalz","LK","10,80","10,72","10,84","10,95","10,86","10,83"
"242.","Nienburg (Weser)","Niedersachsen","LK","10,60","10,47","10,89","10,90","10,98","11,04"
"243.","Nordfriesland","Schleswig-Holstein","K","10,32","9,71","9,99","9,82","9,93","10,05"
"244.","Nordhausen","Thüringen","LK","9,82","9,81","10,04","10,19","10,42","10,41"
"245.","Nordsachsen","Sachsen","LK","10,32","10,53","10,97","11,20","11,28","11,23"
"246.","","Nordwestmecklenburg  Mecklenburg-Vorpommern","LK","10,33","10,33","10,51","10,50","10,48","10,41"
"247.","Northeim","Niedersachsen","LK","10,98","10,89","10,89","10,66","10,68","10,66"
"248.","Nürnberg, Stadt","Bayern","KS","10,52","10,80","11,58","11,93","12,01","11,85"
"249.","Nürnberger Land","Bayern","LK","6,42","6,64","6,83","6,84","6,72","6,49"
"250.","Oberallgäu","Bayern","LK","6,62","6,49","6,56","6,48","6,43","6,25"
"251.","Oberbergischer Kreis","Nordrhein-Westfalen","K","10,29","10,36","10,41","10,28","10,23","10,22"
"252.","Oberhausen, Stadt","Nordrhein-Westfalen","KS","13,98","14,70","15,09","15,17","15,19","15,27"
"253.","Oberhavel","Brandenburg","LK","10,15","10,08","10,04","9,67","9,49","9,30"
"254.","Oberspreewald-Lausitz","Brandenburg","LK","9,21","9,28","9,39","9,41","9,41","9,45"
"255.","Odenwaldkreis","Hessen","LK","9,66","9,84","9,92","9,88","9,90","9,95"
"256.","Oder-Spree","Brandenburg","LK","9,53","9,55","9,67","9,46","9,52","9,51"
"257.","Offenbach","Hessen","LK","9,02","9,11","9,16","9,16","9,19","9,28"
"258.","Offenbach am Main, Stadt","Hessen","KS","18,04","18,01","17,79","17,42","17,42","17,24"
"259.","Oldenburg","Niedersachsen","LK","8,95","8,85","8,81","8,59","8,52","8,44"
"260.","Oldenburg (Oldenburg), Stadt","Niedersachsen","KS","10,98","10,94","10,84","10,60","10,40","10,12"
"261.","Olpe","Nordrhein-Westfalen","K","8,96","8,79","8,64","8,51","8,64","8,57"
"262.","Ortenaukreis","Baden-Württemberg","LK","8,02","8,13","8,36","8,39","8,48","8,35"
"263.","Osnabrück","Niedersachsen","LK","8,69","8,65","8,54","8,40","8,52","8,51"
"264.","Osnabrück, Stadt","Niedersachsen","KS","11,39","11,04","11,29","11,06","11,16","11,71"
"265.","Ostalbkreis","Baden-Württemberg","LK","7,00","7,09","7,24","7,23","7,23","7,11"
"266.","Ostallgäu","Bayern","LK","6,24","6,18","6,31","6,34","6,30","6,04"
"267.","Osterholz","Niedersachsen","LK","8,79","8,86","8,84","8,55","8,42","8,30"
