"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","Typ","Überschuldungsquoten in %","","","","",""
"","","","","2014","2015","2016","2017","2018","2019"
"151.","Hildesheim","Niedersachsen","LK","11,07","11,03","10,97","10,80","10,65","10,58"
"152.","Hochsauerlandkreis","Nordrhein-Westfalen","K","10,40","10,24","10,24","10,10","10,13","10,08"
"153.","Hochtaunuskreis","Hessen","LK","7,11","7,17","7,19","7,09","7,03","7,06"
"154.","Hof","Bayern","LK","8,74","8,74","8,93","8,89","8,89","8,75"
"155.","Hof, Stadt","Bayern","KS","13,49","13,62","13,96","14,18","14,02","13,84"
"156.","Hohenlohekreis","Baden-Württemberg","LK","6,06","6,17","6,34","6,43","6,41","6,34"
"157.","Holzminden","Niedersachsen","LK","11,93","12,04","12,17","12,18","12,48","12,38"
"158.","Höxter","Nordrhein-Westfalen","K","8,15","8,18","8,36","8,42","8,57","8,68"
"159.","Ilm-Kreis","Thüringen","LK","9,21","9,27","9,50","9,49","9,57","9,04"
"160.","Ingolstadt, Stadt","Bayern","KS","7,20","7,37","7,27","7,30","7,30","7,40"
"161.","Jena, Stadt","Thüringen","KS","5,70","5,73","5,87","5,94","5,91","5,93"
"162.","Jerichower Land","Sachsen-Anhalt","LK","11,82","11,58","11,90","11,88","11,94","11,80"
"163.","Kaiserslautern","Rheinland-Pfalz","LK","10,12","10,14","10,50","10,56","10,71","10,77"
"164.","Kaiserslautern, kreisfreie Stadt","Rheinland-Pfalz","KS","14,53","14,38","14,81","14,91","14,96","15,13"
"165.","Karlsruhe","Baden-Württemberg","LK","7,29","7,36","7,69","7,74","7,75","7,65"
"166.","Karlsruhe, Stadtkreis","Baden-Württemberg","SK","8,82","9,11","9,51","9,51","9,53","9,33"
"167.","Kassel","Hessen","LK","9,16","9,19","9,30","9,26","9,28","9,29"
"168.","Kassel, documenta-Stadt","Hessen","KS","16,62","16,47","16,37","15,85","15,70","15,36"
"169.","Kaufbeuren, Stadt","Bayern","KS","10,55","10,35","10,70","10,84","10,73","10,31"
"170.","Kelheim","Bayern","LK","6,62","6,56","6,58","6,60","6,55","6,47"
"171.","Kempten (Allgäu), Stadt","Bayern","KS","10,16","9,96","10,21","10,15","10,15","9,70"
"172.","Kiel, Landeshauptstadt","Schleswig-Holstein","KS","12,03","12,17","12,23","12,16","11,96","11,92"
"173.","Kitzingen","Bayern","LK","6,52","6,56","6,63","6,73","6,77","6,58"
"174.","Kleve, Kreis","Nordrhein-Westfalen","K","10,46","10,38","10,58","10,45","10,57","10,59"
"175.","Koblenz, kreisfreie Stadt","Rheinland-Pfalz","KS","12,68","12,17","12,61","12,58","12,45","12,31"
"176.","Köln, Stadt","Nordrhein-Westfalen","KS","11,75","11,85","11,84","11,78","11,67","11,62"
"177.","Konstanz","Baden-Württemberg","LK","10,12","10,15","10,31","10,24","10,18","10,08"
"178.","Krefeld, Stadt","Nordrhein-Westfalen","KS","14,80","14,96","15,03","15,09","15,05","15,13"
"179.","Kronach","Bayern","LK","6,87","6,91","6,89","6,93","6,93","6,88"
"180.","Kulmbach","Bayern","LK","7,39","7,45","7,50","7,59","7,41","7,16"
"181.","Kusel","Rheinland-Pfalz","LK","9,73","10,05","10,45","10,67","10,74","10,92"
"182.","Kyffhäuserkreis","Thüringen","LK","10,97","11,00","11,40","11,40","11,56","11,63"
"183.","Lahn-Dill-Kreis","Hessen","LK","9,45","9,54","9,53","9,51","9,45","9,44"
"184.","Landau i.d. Pfalz, kreisfreie Stadt","Rheinland-Pfalz","KS","9,26","9,19","9,10","8,86","8,80","8,93"
"185.","","Landkreis Rostock  Mecklenburg-Vorpommern","LK","10,09","9,70","10,01","9,91","9,84","9,85"
"186.","Landsberg am Lech","Bayern","LK","5,33","5,47","5,74","5,69","5,75","5,57"
"187.","Landshut","Bayern","LK","5,46","5,49","5,64","5,65","5,59","5,57"
"188.","Landshut, Stadt","Bayern","KS","8,04","7,99","8,39","8,58","8,75","8,69"
"189.","Leer","Niedersachsen","LK","10,68","10,52","10,66","10,62","10,75","10,81"
