"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","","Schuldnerquoten in %","","","","",""
"","","","","Typ  2013","2014","2015","2016","2017","2018"
"346.","Stormarn","Schleswig-Holstein","K","7,99","7,93","7,65","7,69","7,63","7,55"
"347.","Straubing, Stadt","Bayern","KS","9,99","10,19","10,23","11,50","11,60","11,69"
"348.","Straubing-Bogen","Bayern","LK","5,09","5,17","5,06","5,26","5,37","5,38"
"349.","Stuttgart, Stadtkreis","Baden-Württemberg","SK","10,72","10,92","10,67","11,12","10,50","10,14"
"350.","Südliche Weinstraße","Rheinland-Pfalz","LK","7,93","7,94","7,88","7,99","7,92","7,85"
"351.","Südwestpfalz","Rheinland-Pfalz","LK","7,91","8,08","8,02","8,26","8,30","8,30"
"352.","Suhl, Stadt","Thüringen","KS","10,03","10,11","10,26","10,37","10,55","10,81"
"353.","Teltow-Fläming","Brandenburg","LK","10,81","10,88","10,93","10,79","10,63","10,54"
"354.","Tirschenreuth","Bayern","LK","5,77","5,66","5,69","5,87","5,92","5,96"
"355.","Traunstein","Bayern","LK","5,59","5,62","5,65","5,78","5,91","5,93"
"356.","Trier, kreisfreie Stadt","Rheinland-Pfalz","KS","10,14","10,12","10,11","10,19","9,94","10,52"
"357.","Trier-Saarburg","Rheinland-Pfalz","LK","6,76","6,73","6,51","6,59","6,60","6,64"
"358.","Tübingen","Baden-Württemberg","LK","5,52","5,59","5,67","5,91","6,00","6,02"
"359.","Tuttlingen","Baden-Württemberg","LK","8,55","8,83","8,93","9,17","9,32","9,32"
"360.","Uckermark","Brandenburg","LK","9,57","9,85","9,85","10,24","10,29","10,23"
"361.","Uelzen","Niedersachsen","LK","11,60","11,87","11,80","11,90","11,77","11,88"
"362.","Ulm, Stadtkreis","Baden-Württemberg","SK","7,74","7,84","7,72","8,30","8,44","8,63"
"363.","Unna","Nordrhein-Westfalen","K","11,26","11,43","11,51","11,68","11,68","11,80"
"364.","Unstrut-Hainich-Kreis","Thüringen","LK","9,80","9,95","9,79","9,96","9,91","10,21"
"365.","Unterallgäu","Bayern","LK","6,03","5,97","5,87","6,08","6,19","6,10"
"366.","Vechta","Niedersachsen","LK","7,94","7,98","8,12","8,15","8,14","8,34"
"367.","Verden","Niedersachsen","LK","8,99","8,99","8,89","8,99","8,94","8,80"
"368.","Viersen, Kreis","Nordrhein-Westfalen","K","10,41","10,30","10,19","10,34","10,27","10,23"
"369.","Vogelsbergkreis","Hessen","LK","8,41","8,87","9,00","9,22","9,27","9,70"
"370.","Vogtlandkreis","Sachsen","LK","9,35","10,00","10,39","10,41","10,43","10,24"
"371.","","Vorpommern-Greifswald  Mecklenburg-Vorpommern","LK","9,78","9,96","9,54","9,73","9,71","10,02"
"372.","","Vorpommern-Rügen  Mecklenburg-Vorpommern","LK","10,72","11,02","10,72","10,95","10,88","10,92"
"373.","Vulkaneifel","Rheinland-Pfalz","LK","8,32","8,35","8,07","8,50","8,52","8,58"
"374.","Waldeck-Frankenberg","Hessen","LK","9,71","9,88","9,97","9,97","9,84","9,79"
"375.","Waldshut","Baden-Württemberg","LK","8,16","8,45","8,53","8,84","9,01","9,15"
"376.","Warendorf","Nordrhein-Westfalen","K","8,74","8,90","8,97","9,03","8,95","8,95"
"377.","Wartburgkreis","Thüringen","LK","7,53","7,68","7,86","8,01","8,05","8,01"
"378.","Weiden i.d.OPf., Stadt","Bayern","KS","10,74","10,95","11,08","11,58","11,74","11,43"
"379.","Weilheim-Schongau","Bayern","LK","6,50","6,44","6,56","6,61","6,75","6,67"
"380.","Weimar, Stadt","Thüringen","KS","10,79","10,49","10,58","10,63","10,75","10,74"
"381.","Weimarer Land","Thüringen","LK","9,30","9,36","9,37","9,54","9,49","9,46"
"382.","Weißenburg-Gunzenhausen","Bayern","LK","6,67","6,69","6,75","7,04","7,10","7,16"
"383.","Werra-Meißner-Kreis","Hessen","LK","10,92","11,17","11,34","11,56","11,42","11,61"
"384.","Wesel, Kreis","Nordrhein-Westfalen","K","9,50","9,61","9,70","9,96","9,98","10,07"
